mercadoid	merctamano	ubicacionid	edadubic	promo	semana	ventas
2.00	Grande	101.00	2.00	1.00	1.00	61.91
2.00	Grande	101.00	2.00	1.00	2.00	53.25
2.00	Grande	101.00	2.00	1.00	3.00	60.37
2.00	Grande	101.00	2.00	1.00	4.00	54.24
2.00	Grande	102.00	15.00	1.00	1.00	61.19
2.00	Grande	102.00	15.00	1.00	2.00	55.34
2.00	Grande	102.00	15.00	1.00	3.00	59.73
2.00	Grande	102.00	15.00	1.00	4.00	55.66
2.00	Grande	103.00	11.00	1.00	1.00	54.05
2.00	Grande	103.00	11.00	1.00	2.00	60.05
2.00	Grande	103.00	11.00	1.00	3.00	53.86
2.00	Grande	103.00	11.00	1.00	4.00	64.56
2.00	Grande	104.00	3.00	3.00	1.00	58.28
2.00	Grande	104.00	3.00	3.00	2.00	49.19
2.00	Grande	104.00	3.00	3.00	3.00	60.57
2.00	Grande	104.00	3.00	3.00	4.00	51.32
2.00	Grande	105.00	11.00	3.00	1.00	52.19
2.00	Grande	105.00	11.00	3.00	2.00	64.45
2.00	Grande	105.00	11.00	3.00	3.00	37.03
2.00	Grande	105.00	11.00	3.00	4.00	58.75
2.00	Grande	106.00	4.00	2.00	1.00	43.03
2.00	Grande	106.00	4.00	2.00	2.00	45.60
2.00	Grande	106.00	4.00	2.00	3.00	50.44
2.00	Grande	106.00	4.00	2.00	4.00	42.78
2.00	Grande	107.00	3.00	1.00	1.00	66.75
2.00	Grande	107.00	3.00	1.00	2.00	53.13
2.00	Grande	107.00	3.00	1.00	3.00	57.96
2.00	Grande	107.00	3.00	1.00	4.00	57.23
2.00	Grande	108.00	12.00	2.00	1.00	47.29
2.00	Grande	108.00	12.00	2.00	2.00	38.07
2.00	Grande	108.00	12.00	2.00	3.00	45.08
2.00	Grande	108.00	12.00	2.00	4.00	50.71
2.00	Grande	109.00	11.00	3.00	1.00	53.19
2.00	Grande	109.00	11.00	3.00	2.00	48.53
2.00	Grande	109.00	11.00	3.00	3.00	56.60
2.00	Grande	109.00	11.00	3.00	4.00	54.24
2.00	Grande	110.00	1.00	2.00	1.00	46.63
2.00	Grande	110.00	1.00	2.00	2.00	55.49
2.00	Grande	110.00	1.00	2.00	3.00	61.98
2.00	Grande	110.00	1.00	2.00	4.00	51.13
2.00	Grande	111.00	2.00	1.00	1.00	50.23
2.00	Grande	111.00	2.00	1.00	2.00	66.42
2.00	Grande	111.00	2.00	1.00	3.00	54.64
2.00	Grande	111.00	2.00	1.00	4.00	58.27
2.00	Grande	112.00	5.00	2.00	1.00	45.27
2.00	Grande	112.00	5.00	2.00	2.00	53.98
2.00	Grande	112.00	5.00	2.00	3.00	42.03
2.00	Grande	112.00	5.00	2.00	4.00	51.25
2.00	Grande	113.00	8.00	3.00	1.00	47.23
2.00	Grande	113.00	8.00	3.00	2.00	52.61
2.00	Grande	113.00	8.00	3.00	3.00	55.40
2.00	Grande	113.00	8.00	3.00	4.00	46.90
2.00	Grande	114.00	5.00	1.00	1.00	52.49
2.00	Grande	114.00	5.00	1.00	2.00	60.59
2.00	Grande	114.00	5.00	1.00	3.00	62.74
2.00	Grande	114.00	5.00	1.00	4.00	66.81
2.00	Grande	115.00	7.00	3.00	1.00	45.68
2.00	Grande	115.00	7.00	3.00	2.00	53.88
2.00	Grande	115.00	7.00	3.00	3.00	51.06
2.00	Grande	115.00	7.00	3.00	4.00	54.12
2.00	Grande	116.00	10.00	3.00	1.00	54.28
2.00	Grande	116.00	10.00	3.00	2.00	53.88
2.00	Grande	116.00	10.00	3.00	3.00	52.20
2.00	Grande	116.00	10.00	3.00	4.00	54.08
2.00	Grande	117.00	20.00	3.00	1.00	61.50
2.00	Grande	117.00	20.00	3.00	2.00	51.68
2.00	Grande	117.00	20.00	3.00	3.00	57.88
2.00	Grande	117.00	20.00	3.00	4.00	59.22
2.00	Grande	118.00	4.00	3.00	1.00	55.82
2.00	Grande	118.00	4.00	3.00	2.00	51.72
2.00	Grande	118.00	4.00	3.00	3.00	51.40
2.00	Grande	118.00	4.00	3.00	4.00	50.32
3.00	Mediano	201.00	12.00	3.00	1.00	43.96
3.00	Mediano	201.00	12.00	3.00	2.00	39.67
3.00	Mediano	201.00	12.00	3.00	3.00	46.88
3.00	Mediano	201.00	12.00	3.00	4.00	50.75
3.00	Mediano	202.00	3.00	1.00	1.00	47.24
3.00	Mediano	202.00	3.00	1.00	2.00	52.92
3.00	Mediano	202.00	3.00	1.00	3.00	48.83
3.00	Mediano	202.00	3.00	1.00	4.00	52.35
3.00	Mediano	203.00	10.00	2.00	1.00	31.06
3.00	Mediano	203.00	10.00	2.00	2.00	40.29
3.00	Mediano	203.00	10.00	2.00	3.00	36.39
3.00	Mediano	203.00	10.00	2.00	4.00	35.63
3.00	Mediano	204.00	5.00	2.00	1.00	47.05
3.00	Mediano	204.00	5.00	2.00	2.00	31.27
3.00	Mediano	204.00	5.00	2.00	3.00	37.53
3.00	Mediano	204.00	5.00	2.00	4.00	28.61
3.00	Mediano	205.00	20.00	3.00	1.00	41.47
3.00	Mediano	205.00	20.00	3.00	2.00	45.28
3.00	Mediano	205.00	20.00	3.00	3.00	49.78
3.00	Mediano	205.00	20.00	3.00	4.00	50.34
3.00	Mediano	206.00	1.00	3.00	1.00	46.96
3.00	Mediano	206.00	1.00	3.00	2.00	46.20
3.00	Mediano	206.00	1.00	3.00	3.00	50.97
3.00	Mediano	206.00	1.00	3.00	4.00	41.95
3.00	Mediano	207.00	4.00	2.00	1.00	42.44
3.00	Mediano	207.00	4.00	2.00	2.00	35.26
3.00	Mediano	207.00	4.00	2.00	3.00	45.12
3.00	Mediano	207.00	4.00	2.00	4.00	36.11
3.00	Mediano	208.00	13.00	3.00	1.00	46.31
3.00	Mediano	208.00	13.00	3.00	2.00	38.99
3.00	Mediano	208.00	13.00	3.00	3.00	43.50
3.00	Mediano	208.00	13.00	3.00	4.00	41.26
3.00	Mediano	209.00	6.00	1.00	1.00	53.79
3.00	Mediano	209.00	6.00	1.00	2.00	48.13
3.00	Mediano	209.00	6.00	1.00	3.00	40.93
3.00	Mediano	209.00	6.00	1.00	4.00	49.29
3.00	Mediano	210.00	12.00	3.00	1.00	38.79
3.00	Mediano	210.00	12.00	3.00	2.00	45.37
3.00	Mediano	210.00	12.00	3.00	3.00	52.27
3.00	Mediano	210.00	12.00	3.00	4.00	41.12
3.00	Mediano	211.00	13.00	2.00	1.00	39.90
3.00	Mediano	211.00	13.00	2.00	2.00	36.45
3.00	Mediano	211.00	13.00	2.00	3.00	34.23
3.00	Mediano	211.00	13.00	2.00	4.00	41.27
3.00	Mediano	212.00	15.00	1.00	1.00	52.68
3.00	Mediano	212.00	15.00	1.00	2.00	54.00
3.00	Mediano	212.00	15.00	1.00	3.00	55.18
3.00	Mediano	212.00	15.00	1.00	4.00	50.57
3.00	Mediano	213.00	5.00	1.00	1.00	45.38
3.00	Mediano	213.00	5.00	1.00	2.00	50.26
3.00	Mediano	213.00	5.00	1.00	3.00	41.79
3.00	Mediano	213.00	5.00	1.00	4.00	50.75
3.00	Mediano	214.00	4.00	1.00	1.00	47.29
3.00	Mediano	214.00	4.00	1.00	2.00	38.52
3.00	Mediano	214.00	4.00	1.00	3.00	53.12
3.00	Mediano	214.00	4.00	1.00	4.00	36.18
3.00	Mediano	215.00	16.00	1.00	1.00	48.58
3.00	Mediano	215.00	16.00	1.00	2.00	49.50
3.00	Mediano	215.00	16.00	1.00	3.00	53.60
3.00	Mediano	215.00	16.00	1.00	4.00	48.46
4.00	Pequeño	301.00	5.00	1.00	1.00	46.04
4.00	Pequeño	301.00	5.00	1.00	2.00	60.00
4.00	Pequeño	301.00	5.00	1.00	3.00	60.98
4.00	Pequeño	301.00	5.00	1.00	4.00	58.24
4.00	Pequeño	302.00	11.00	1.00	1.00	54.80
4.00	Pequeño	302.00	11.00	1.00	2.00	56.98
4.00	Pequeño	302.00	11.00	1.00	3.00	49.10
4.00	Pequeño	302.00	11.00	1.00	4.00	57.39
4.00	Pequeño	303.00	3.00	2.00	1.00	46.67
4.00	Pequeño	303.00	3.00	2.00	2.00	37.93
4.00	Pequeño	303.00	3.00	2.00	3.00	50.59
4.00	Pequeño	303.00	3.00	2.00	4.00	45.91
4.00	Pequeño	304.00	10.00	3.00	1.00	60.37
4.00	Pequeño	304.00	10.00	3.00	2.00	60.92
4.00	Pequeño	304.00	10.00	3.00	3.00	58.26
4.00	Pequeño	304.00	10.00	3.00	4.00	49.36
4.00	Pequeño	305.00	17.00	3.00	1.00	46.94
4.00	Pequeño	305.00	17.00	3.00	2.00	49.08
4.00	Pequeño	305.00	17.00	3.00	3.00	58.93
4.00	Pequeño	305.00	17.00	3.00	4.00	53.71
5.00	Grande	401.00	1.00	2.00	1.00	47.95
5.00	Grande	401.00	1.00	2.00	2.00	52.87
5.00	Grande	401.00	1.00	2.00	3.00	51.28
5.00	Grande	401.00	1.00	2.00	4.00	46.20
5.00	Grande	402.00	7.00	3.00	1.00	59.13
5.00	Grande	402.00	7.00	3.00	2.00	56.22
5.00	Grande	402.00	7.00	3.00	3.00	57.06
5.00	Grande	402.00	7.00	3.00	4.00	60.25
5.00	Grande	403.00	10.00	2.00	1.00	61.96
5.00	Grande	403.00	10.00	2.00	2.00	42.75
5.00	Grande	403.00	10.00	2.00	3.00	46.89
5.00	Grande	403.00	10.00	2.00	4.00	55.58
5.00	Grande	404.00	8.00	1.00	1.00	55.55
5.00	Grande	404.00	8.00	1.00	2.00	63.74
5.00	Grande	404.00	8.00	1.00	3.00	54.52
5.00	Grande	404.00	8.00	1.00	4.00	63.41
5.00	Grande	405.00	10.00	1.00	1.00	56.70
5.00	Grande	405.00	10.00	1.00	2.00	71.24
5.00	Grande	405.00	10.00	1.00	3.00	56.75
5.00	Grande	405.00	10.00	1.00	4.00	60.78
5.00	Grande	406.00	7.00	2.00	1.00	43.26
5.00	Grande	406.00	7.00	2.00	2.00	49.74
5.00	Grande	406.00	7.00	2.00	3.00	59.63
5.00	Grande	406.00	7.00	2.00	4.00	44.01
5.00	Grande	407.00	7.00	1.00	1.00	61.34
5.00	Grande	407.00	7.00	1.00	2.00	61.09
5.00	Grande	407.00	7.00	1.00	3.00	65.26
5.00	Grande	407.00	7.00	1.00	4.00	59.93
5.00	Grande	408.00	5.00	3.00	1.00	63.81
5.00	Grande	408.00	5.00	3.00	2.00	47.52
5.00	Grande	408.00	5.00	3.00	3.00	65.55
5.00	Grande	408.00	5.00	3.00	4.00	54.70
5.00	Grande	409.00	7.00	1.00	1.00	64.25
5.00	Grande	409.00	7.00	1.00	2.00	56.65
5.00	Grande	409.00	7.00	1.00	3.00	57.12
5.00	Grande	409.00	7.00	1.00	4.00	65.06
5.00	Grande	410.00	24.00	1.00	1.00	53.35
5.00	Grande	410.00	24.00	1.00	2.00	70.44
5.00	Grande	410.00	24.00	1.00	3.00	66.42
5.00	Grande	410.00	24.00	1.00	4.00	55.65
5.00	Grande	411.00	2.00	1.00	1.00	61.26
5.00	Grande	411.00	2.00	1.00	2.00	57.88
5.00	Grande	411.00	2.00	1.00	3.00	62.06
5.00	Grande	411.00	2.00	1.00	4.00	54.03
5.00	Grande	412.00	17.00	2.00	1.00	51.43
5.00	Grande	412.00	17.00	2.00	2.00	49.76
5.00	Grande	412.00	17.00	2.00	3.00	53.41
5.00	Grande	412.00	17.00	2.00	4.00	50.60
5.00	Grande	413.00	4.00	2.00	1.00	47.11
5.00	Grande	413.00	4.00	2.00	2.00	38.41
5.00	Grande	413.00	4.00	2.00	3.00	52.16
5.00	Grande	413.00	4.00	2.00	4.00	47.09
5.00	Grande	414.00	6.00	1.00	1.00	52.66
5.00	Grande	414.00	6.00	1.00	2.00	57.12
5.00	Grande	414.00	6.00	1.00	3.00	61.77
5.00	Grande	414.00	6.00	1.00	4.00	62.62
5.00	Grande	415.00	4.00	2.00	1.00	56.50
5.00	Grande	415.00	4.00	2.00	2.00	52.35
5.00	Grande	415.00	4.00	2.00	3.00	43.96
5.00	Grande	415.00	4.00	2.00	4.00	51.96
5.00	Grande	416.00	2.00	3.00	1.00	50.19
5.00	Grande	416.00	2.00	3.00	2.00	65.19
5.00	Grande	416.00	2.00	3.00	3.00	53.15
5.00	Grande	416.00	2.00	3.00	4.00	54.88
5.00	Grande	417.00	22.00	3.00	1.00	62.98
5.00	Grande	417.00	22.00	3.00	2.00	62.45
5.00	Grande	417.00	22.00	3.00	3.00	51.05
5.00	Grande	417.00	22.00	3.00	4.00	60.99
5.00	Grande	418.00	1.00	1.00	1.00	68.71
5.00	Grande	418.00	1.00	1.00	2.00	66.46
5.00	Grande	418.00	1.00	1.00	3.00	68.42
5.00	Grande	418.00	1.00	1.00	4.00	66.18
5.00	Grande	419.00	15.00	3.00	1.00	59.43
5.00	Grande	419.00	15.00	3.00	2.00	55.95
5.00	Grande	419.00	15.00	3.00	3.00	52.79
5.00	Grande	419.00	15.00	3.00	4.00	67.65
5.00	Grande	420.00	7.00	3.00	1.00	60.43
5.00	Grande	420.00	7.00	3.00	2.00	54.79
5.00	Grande	420.00	7.00	3.00	3.00	52.10
5.00	Grande	420.00	7.00	3.00	4.00	50.07
5.00	Grande	421.00	1.00	2.00	1.00	48.11
5.00	Grande	421.00	1.00	2.00	2.00	59.21
5.00	Grande	421.00	1.00	2.00	3.00	48.41
5.00	Grande	421.00	1.00	2.00	4.00	48.47
5.00	Grande	422.00	3.00	3.00	1.00	55.79
5.00	Grande	422.00	3.00	3.00	2.00	59.96
5.00	Grande	422.00	3.00	3.00	3.00	63.56
5.00	Grande	422.00	3.00	3.00	4.00	56.83
5.00	Grande	423.00	5.00	2.00	1.00	45.51
5.00	Grande	423.00	5.00	2.00	2.00	41.66
5.00	Grande	423.00	5.00	2.00	3.00	48.66
5.00	Grande	423.00	5.00	2.00	4.00	53.33
6.00	Pequeño	501.00	9.00	2.00	1.00	44.25
6.00	Pequeño	501.00	9.00	2.00	2.00	52.98
6.00	Pequeño	501.00	9.00	2.00	3.00	38.76
6.00	Pequeño	501.00	9.00	2.00	4.00	47.75
6.00	Pequeño	502.00	6.00	2.00	1.00	47.76
6.00	Pequeño	502.00	6.00	2.00	2.00	44.62
6.00	Pequeño	502.00	6.00	2.00	3.00	44.40
6.00	Pequeño	502.00	6.00	2.00	4.00	45.56
6.00	Pequeño	503.00	1.00	2.00	1.00	48.52
6.00	Pequeño	503.00	1.00	2.00	2.00	46.88
6.00	Pequeño	503.00	1.00	2.00	3.00	48.47
6.00	Pequeño	503.00	1.00	2.00	4.00	50.66
6.00	Pequeño	504.00	5.00	1.00	1.00	47.76
6.00	Pequeño	504.00	5.00	1.00	2.00	43.04
6.00	Pequeño	504.00	5.00	1.00	3.00	62.55
6.00	Pequeño	504.00	5.00	1.00	4.00	53.80
7.00	Pequeño	601.00	8.00	2.00	1.00	39.93
7.00	Pequeño	601.00	8.00	2.00	2.00	36.45
7.00	Pequeño	601.00	8.00	2.00	3.00	43.12
7.00	Pequeño	601.00	8.00	2.00	4.00	39.77
7.00	Pequeño	602.00	11.00	2.00	1.00	44.09
7.00	Pequeño	602.00	11.00	2.00	2.00	41.57
7.00	Pequeño	602.00	11.00	2.00	3.00	36.74
7.00	Pequeño	602.00	11.00	2.00	4.00	56.18
7.00	Pequeño	603.00	13.00	2.00	1.00	40.18
7.00	Pequeño	603.00	13.00	2.00	2.00	44.31
7.00	Pequeño	603.00	13.00	2.00	3.00	45.75
7.00	Pequeño	603.00	13.00	2.00	4.00	39.81
7.00	Pequeño	604.00	4.00	1.00	1.00	49.86
7.00	Pequeño	604.00	4.00	1.00	2.00	56.55
7.00	Pequeño	604.00	4.00	1.00	3.00	52.68
7.00	Pequeño	604.00	4.00	1.00	4.00	49.58
7.00	Pequeño	605.00	10.00	2.00	1.00	37.82
7.00	Pequeño	605.00	10.00	2.00	2.00	41.49
7.00	Pequeño	605.00	10.00	2.00	3.00	50.14
7.00	Pequeño	605.00	10.00	2.00	4.00	39.71
7.00	Pequeño	606.00	6.00	3.00	1.00	44.41
7.00	Pequeño	606.00	6.00	3.00	2.00	46.47
7.00	Pequeño	606.00	6.00	3.00	3.00	53.96
7.00	Pequeño	606.00	6.00	3.00	4.00	40.68
7.00	Pequeño	607.00	22.00	1.00	1.00	58.80
7.00	Pequeño	607.00	22.00	1.00	2.00	53.90
7.00	Pequeño	607.00	22.00	1.00	3.00	57.63
7.00	Pequeño	607.00	22.00	1.00	4.00	62.30
7.00	Pequeño	608.00	6.00	1.00	1.00	57.10
7.00	Pequeño	608.00	6.00	1.00	2.00	51.97
7.00	Pequeño	608.00	6.00	1.00	3.00	45.04
7.00	Pequeño	608.00	6.00	1.00	4.00	54.99
7.00	Pequeño	609.00	9.00	1.00	1.00	48.10
7.00	Pequeño	609.00	9.00	1.00	2.00	65.12
7.00	Pequeño	609.00	9.00	1.00	3.00	45.38
7.00	Pequeño	609.00	9.00	1.00	4.00	58.23
8.00	Mediano	701.00	12.00	2.00	1.00	41.62
8.00	Mediano	701.00	12.00	2.00	2.00	48.81
8.00	Mediano	701.00	12.00	2.00	3.00	37.60
8.00	Mediano	701.00	12.00	2.00	4.00	49.42
8.00	Mediano	702.00	6.00	3.00	1.00	47.46
8.00	Mediano	702.00	6.00	3.00	2.00	49.60
8.00	Mediano	702.00	6.00	3.00	3.00	45.54
8.00	Mediano	702.00	6.00	3.00	4.00	46.13
8.00	Mediano	703.00	2.00	2.00	1.00	39.90
8.00	Mediano	703.00	2.00	2.00	2.00	52.71
8.00	Mediano	703.00	2.00	2.00	3.00	47.18
8.00	Mediano	703.00	2.00	2.00	4.00	39.22
8.00	Mediano	704.00	15.00	1.00	1.00	61.01
8.00	Mediano	704.00	15.00	1.00	2.00	36.01
8.00	Mediano	704.00	15.00	1.00	3.00	56.08
8.00	Mediano	704.00	15.00	1.00	4.00	59.10
8.00	Mediano	705.00	11.00	2.00	1.00	51.00
8.00	Mediano	705.00	11.00	2.00	2.00	45.32
8.00	Mediano	705.00	11.00	2.00	3.00	34.28
8.00	Mediano	705.00	11.00	2.00	4.00	43.65
8.00	Mediano	706.00	3.00	2.00	1.00	48.98
8.00	Mediano	706.00	3.00	2.00	2.00	42.83
8.00	Mediano	706.00	3.00	2.00	3.00	39.56
8.00	Mediano	706.00	3.00	2.00	4.00	51.40
8.00	Mediano	707.00	3.00	3.00	1.00	42.73
8.00	Mediano	707.00	3.00	3.00	2.00	50.21
8.00	Mediano	707.00	3.00	3.00	3.00	52.50
8.00	Mediano	707.00	3.00	3.00	4.00	50.43
8.00	Mediano	708.00	10.00	1.00	1.00	54.47
8.00	Mediano	708.00	10.00	1.00	2.00	55.20
8.00	Mediano	708.00	10.00	1.00	3.00	45.68
8.00	Mediano	708.00	10.00	1.00	4.00	62.28
8.00	Mediano	709.00	4.00	3.00	1.00	49.53
8.00	Mediano	709.00	4.00	3.00	2.00	52.99
8.00	Mediano	709.00	4.00	3.00	3.00	45.49
8.00	Mediano	709.00	4.00	3.00	4.00	46.58
8.00	Mediano	710.00	1.00	2.00	1.00	36.19
8.00	Mediano	710.00	1.00	2.00	2.00	51.80
8.00	Mediano	710.00	1.00	2.00	3.00	42.84
8.00	Mediano	710.00	1.00	2.00	4.00	53.57
8.00	Mediano	711.00	2.00	3.00	1.00	45.14
8.00	Mediano	711.00	2.00	3.00	2.00	53.39
8.00	Mediano	711.00	2.00	3.00	3.00	36.63
8.00	Mediano	711.00	2.00	3.00	4.00	54.40
9.00	Grande	801.00	6.00	3.00	1.00	35.12
9.00	Grande	801.00	6.00	3.00	2.00	38.90
9.00	Grande	801.00	6.00	3.00	3.00	40.84
9.00	Grande	801.00	6.00	3.00	4.00	42.82
9.00	Grande	802.00	4.00	3.00	1.00	42.18
9.00	Grande	802.00	4.00	3.00	2.00	46.61
9.00	Grande	802.00	4.00	3.00	3.00	37.27
9.00	Grande	802.00	4.00	3.00	4.00	49.17
9.00	Grande	803.00	5.00	1.00	1.00	48.28
9.00	Grande	803.00	5.00	1.00	2.00	42.68
9.00	Grande	803.00	5.00	1.00	3.00	46.32
9.00	Grande	803.00	5.00	1.00	4.00	48.63
9.00	Grande	804.00	15.00	1.00	1.00	49.11
9.00	Grande	804.00	15.00	1.00	2.00	41.76
9.00	Grande	804.00	15.00	1.00	3.00	57.09
9.00	Grande	804.00	15.00	1.00	4.00	36.00
9.00	Grande	805.00	6.00	2.00	1.00	36.56
9.00	Grande	805.00	6.00	2.00	2.00	32.06
9.00	Grande	805.00	6.00	2.00	3.00	41.17
9.00	Grande	805.00	6.00	2.00	4.00	39.25
9.00	Grande	806.00	1.00	2.00	1.00	47.51
9.00	Grande	806.00	1.00	2.00	2.00	38.95
9.00	Grande	806.00	1.00	2.00	3.00	45.95
9.00	Grande	806.00	1.00	2.00	4.00	40.16
9.00	Grande	807.00	18.00	2.00	1.00	38.02
9.00	Grande	807.00	18.00	2.00	2.00	41.84
9.00	Grande	807.00	18.00	2.00	3.00	54.99
9.00	Grande	807.00	18.00	2.00	4.00	35.32
9.00	Grande	808.00	22.00	2.00	1.00	49.47
9.00	Grande	808.00	22.00	2.00	2.00	46.53
9.00	Grande	808.00	22.00	2.00	3.00	41.64
9.00	Grande	808.00	22.00	2.00	4.00	31.98
9.00	Grande	809.00	8.00	1.00	1.00	42.46
9.00	Grande	809.00	8.00	1.00	2.00	41.72
9.00	Grande	809.00	8.00	1.00	3.00	47.25
9.00	Grande	809.00	8.00	1.00	4.00	52.93
9.00	Grande	810.00	18.00	2.00	1.00	42.05
9.00	Grande	810.00	18.00	2.00	2.00	36.07
9.00	Grande	810.00	18.00	2.00	3.00	43.70
9.00	Grande	810.00	18.00	2.00	4.00	25.90
9.00	Grande	811.00	10.00	2.00	1.00	40.24
9.00	Grande	811.00	10.00	2.00	2.00	31.86
9.00	Grande	811.00	10.00	2.00	3.00	48.40
9.00	Grande	811.00	10.00	2.00	4.00	37.58
9.00	Grande	812.00	2.00	3.00	1.00	38.99
9.00	Grande	812.00	2.00	3.00	2.00	45.98
9.00	Grande	812.00	2.00	3.00	3.00	43.83
9.00	Grande	812.00	2.00	3.00	4.00	39.05
9.00	Grande	813.00	18.00	2.00	1.00	45.31
9.00	Grande	813.00	18.00	2.00	2.00	46.80
9.00	Grande	813.00	18.00	2.00	3.00	42.91
9.00	Grande	813.00	18.00	2.00	4.00	43.30
9.00	Grande	814.00	1.00	1.00	1.00	54.68
9.00	Grande	814.00	1.00	1.00	2.00	50.76
9.00	Grande	814.00	1.00	1.00	3.00	55.94
9.00	Grande	814.00	1.00	1.00	4.00	48.25
9.00	Grande	815.00	1.00	3.00	1.00	43.56
9.00	Grande	815.00	1.00	3.00	2.00	57.25
9.00	Grande	815.00	1.00	3.00	3.00	40.80
9.00	Grande	815.00	1.00	3.00	4.00	44.36
9.00	Grande	816.00	8.00	2.00	1.00	38.95
9.00	Grande	816.00	8.00	2.00	2.00	35.62
9.00	Grande	816.00	8.00	2.00	3.00	37.79
9.00	Grande	816.00	8.00	2.00	4.00	36.19
