edad	trabajo	estciv	educacion	mora	balance	vivienda	prestamo	contacto	dia	mes	duracion	campana	pdias	previo	presultado	y
55	blue-collar	married	primaria	no	627	si	no	desconocido	5	may	247	1	-1	0	desconocido	no
67	retired	married	desconocido	no	696	no	no	teléfono	17	aug	119	1	105	2	fracaso	no
56	self-employed	married	secundaria	no	784	no	si	celular	30	jul	149	2	-1	0	desconocido	no
53	admin.	married	secundaria	no	105	no	si	celular	21	aug	74	2	-1	0	desconocido	no
68	retired	divorced	secundaria	no	4189	no	no	teléfono	14	jul	897	2	-1	0	desconocido	si
31	technician	married	secundaria	no	171	no	no	celular	27	aug	81	3	-1	0	desconocido	no
59	management	married	secundaria	no	42	no	no	celular	21	nov	40	1	-1	0	desconocido	no
32	management	single	terciario	no	2536	si	no	celular	26	aug	958	6	-1	0	desconocido	si
49	technician	married	terciario	no	1235	no	no	celular	13	aug	354	3	-1	0	desconocido	si
42	admin.	divorced	secundaria	no	1811	si	no	desconocido	14	may	150	1	-1	0	desconocido	no
78	retired	divorced	primaria	no	229	no	no	teléfono	22	oct	97	1	-1	0	desconocido	si
32	blue-collar	married	secundaria	no	2089	si	no	celular	14	nov	132	1	-1	0	desconocido	si
33	management	married	secundaria	no	3935	si	no	celular	6	may	765	1	342	2	fracaso	si
23	services	single	terciario	no	363	si	no	desconocido	30	may	16	18	-1	0	desconocido	no
38	management	single	terciario	no	11971	si	no	desconocido	17	nov	609	2	101	3	fracaso	no
36	management	single	terciario	no	553	no	no	celular	11	aug	106	2	-1	0	desconocido	no
52	blue-collar	married	secundaria	no	1117	si	no	celular	13	may	365	1	-1	0	desconocido	no
32	technician	married	terciario	no	396	si	no	celular	13	may	205	3	-1	0	desconocido	no
32	technician	single	terciario	no	2204	si	no	celular	21	nov	11	4	-1	0	desconocido	no
34	management	single	terciario	no	872	si	no	desconocido	7	may	105	2	-1	0	desconocido	no
55	blue-collar	married	primaria	no	145	no	no	teléfono	2	feb	59	3	5	2	otro	no
26	blue-collar	married	primaria	no	0	si	no	desconocido	21	may	425	1	-1	0	desconocido	no
32	entrepreneur	single	primaria	si	-849	si	si	celular	4	feb	204	1	-1	0	desconocido	no
61	admin.	married	desconocido	no	4629	si	no	celular	27	jan	181	1	92	1	éxito	si
45	blue-collar	divorced	primaria	no	844	no	no	desconocido	5	jun	1018	3	-1	0	desconocido	si
37	technician	single	secundaria	no	228	si	no	celular	20	aug	1740	2	-1	0	desconocido	no
38	technician	single	secundaria	no	50	no	no	celular	29	aug	98	2	-1	0	desconocido	no
34	technician	married	terciario	no	1539	si	no	celular	15	jun	441	1	56	1	otro	si
53	blue-collar	married	secundaria	no	2231	si	no	celular	14	jul	272	3	-1	0	desconocido	no
48	admin.	married	secundaria	no	3064	si	no	teléfono	15	jul	159	2	-1	0	desconocido	no
57	management	married	secundaria	no	82	no	si	teléfono	4	feb	140	1	-1	0	desconocido	no
33	self-employed	single	terciario	no	2155	no	no	celular	17	nov	295	1	-1	0	desconocido	no
36	retired	single	secundaria	no	101	si	si	desconocido	26	may	314	1	-1	0	desconocido	no
54	technician	divorced	secundaria	no	784	si	si	desconocido	15	may	579	1	-1	0	desconocido	no
41	blue-collar	married	primaria	no	-516	no	si	teléfono	8	jul	554	3	-1	0	desconocido	no
63	retired	married	secundaria	no	415	si	no	celular	7	oct	323	1	-1	0	desconocido	no
48	management	married	terciario	no	5887	no	no	celular	13	aug	227	2	-1	0	desconocido	no
48	services	married	secundaria	no	1355	no	no	celular	4	jul	134	2	-1	0	desconocido	no
56	admin.	married	secundaria	no	16873	no	no	celular	7	oct	223	1	-1	0	desconocido	no
51	blue-collar	divorced	secundaria	no	203	si	no	celular	8	may	134	1	170	5	fracaso	no
31	services	married	secundaria	no	338	si	no	celular	28	jan	155	1	-1	0	desconocido	no
29	technician	married	secundaria	no	444	si	no	celular	21	jul	130	4	-1	0	desconocido	no
41	management	married	secundaria	no	0	no	si	celular	7	jul	630	3	-1	0	desconocido	no
32	technician	single	terciario	no	360	no	no	celular	19	nov	164	2	-1	0	desconocido	no
37	management	married	terciario	no	0	no	no	celular	16	jul	268	2	182	3	éxito	si
42	entrepreneur	divorced	terciario	si	2	si	no	desconocido	5	may	380	1	-1	0	desconocido	no
31	management	single	terciario	no	6248	si	no	desconocido	9	may	154	2	-1	0	desconocido	no
41	services	married	terciario	no	412	si	no	desconocido	3	jun	154	5	-1	0	desconocido	no
56	retired	married	secundaria	no	344	si	no	desconocido	15	may	221	1	-1	0	desconocido	no
54	management	divorced	terciario	no	3222	no	no	celular	14	aug	67	2	-1	0	desconocido	no
41	blue-collar	divorced	secundaria	no	174	si	no	celular	14	may	367	2	297	1	otro	no
40	technician	single	secundaria	no	591	no	si	celular	14	aug	87	6	-1	0	desconocido	no
50	blue-collar	divorced	primaria	no	388	no	no	celular	5	feb	701	1	-1	0	desconocido	no
40	unemployed	married	secundaria	no	219	si	no	celular	17	nov	204	2	196	1	fracaso	no
27	admin.	divorced	secundaria	no	451	si	no	celular	16	jul	652	1	-1	0	desconocido	si
60	retired	married	primaria	no	5	no	no	celular	26	aug	63	2	-1	0	desconocido	no
28	admin.	single	secundaria	no	177	si	si	celular	6	may	150	1	-1	0	desconocido	no
52	services	married	secundaria	no	657	no	no	teléfono	7	jul	398	2	460	2	fracaso	si
37	management	married	terciario	no	1315	no	no	celular	30	jun	224	1	-1	0	desconocido	si
51	blue-collar	married	primaria	no	1466	si	no	desconocido	7	may	406	2	-1	0	desconocido	no
41	technician	single	secundaria	no	879	no	si	celular	7	jul	60	4	-1	0	desconocido	no
35	blue-collar	single	primaria	no	293	si	no	desconocido	30	may	521	2	-1	0	desconocido	no
38	admin.	married	secundaria	no	424	si	no	celular	17	apr	279	1	-1	0	desconocido	no
34	blue-collar	married	secundaria	no	1831	si	no	desconocido	20	may	203	2	-1	0	desconocido	no
39	blue-collar	married	primaria	no	111	no	no	celular	18	nov	201	2	-1	0	desconocido	no
34	blue-collar	married	primaria	no	455	si	no	desconocido	20	jun	372	3	-1	0	desconocido	no
27	services	single	secundaria	no	-195	si	no	celular	18	may	391	1	-1	0	desconocido	si
32	management	single	terciario	no	3616	no	no	celular	14	aug	165	2	-1	0	desconocido	no
57	blue-collar	married	secundaria	no	14093	no	no	celular	11	aug	231	5	-1	0	desconocido	no
41	desconocido	single	terciario	no	1567	no	no	celular	1	jul	291	2	-1	0	desconocido	no
41	admin.	married	terciario	no	5426	si	no	desconocido	14	may	149	2	-1	0	desconocido	no
30	admin.	single	terciario	no	261	no	no	celular	19	oct	233	1	137	20	fracaso	no
36	blue-collar	divorced	secundaria	no	2843	no	no	celular	12	feb	473	1	182	1	éxito	no
31	unemployed	single	primaria	no	406	no	no	celular	4	feb	736	1	-1	0	desconocido	si
36	blue-collar	married	secundaria	no	0	si	no	desconocido	6	may	337	1	-1	0	desconocido	no
38	management	single	terciario	no	493	si	no	celular	11	may	553	1	367	7	fracaso	no
49	technician	married	secundaria	no	5996	no	no	teléfono	21	nov	345	2	-1	0	desconocido	no
57	services	single	primaria	no	3777	si	no	teléfono	13	may	65	2	-1	0	desconocido	no
34	management	single	secundaria	no	524	no	no	desconocido	13	aug	9	1	-1	0	desconocido	no
32	management	single	terciario	no	574	si	no	celular	14	apr	259	2	145	3	fracaso	no
37	blue-collar	married	secundaria	no	427	si	si	desconocido	9	jun	371	3	-1	0	desconocido	no
33	self-employed	married	terciario	no	483	si	no	celular	3	feb	280	2	-1	0	desconocido	no
56	unemployed	married	primaria	no	3391	no	no	celular	21	apr	243	1	-1	0	desconocido	si
27	housemaid	married	primaria	no	0	si	no	celular	23	jul	435	3	-1	0	desconocido	no
21	student	single	secundaria	no	2488	no	no	celular	30	jun	258	6	169	3	éxito	si
58	management	married	terciario	no	1517	si	no	teléfono	29	jul	7	5	-1	0	desconocido	no
32	self-employed	married	secundaria	no	217	si	si	celular	15	jul	317	5	-1	0	desconocido	no
33	blue-collar	single	secundaria	no	22	no	no	celular	30	jan	76	2	207	1	fracaso	no
25	student	single	secundaria	no	331	no	no	teléfono	26	aug	170	4	-1	0	desconocido	si
25	technician	single	secundaria	no	505	no	si	celular	17	nov	386	2	-1	0	desconocido	si
30	services	married	secundaria	no	1808	si	no	celular	18	may	83	2	-1	0	desconocido	no
22	admin.	single	secundaria	no	4111	no	si	celular	19	aug	65	1	-1	0	desconocido	no
39	blue-collar	married	primaria	no	52	no	no	celular	13	aug	69	1	-1	0	desconocido	no
46	management	divorced	terciario	no	25	no	no	desconocido	17	jun	564	2	-1	0	desconocido	no
31	admin.	divorced	secundaria	no	1890	si	no	celular	21	jul	588	1	-1	0	desconocido	no
45	blue-collar	married	primaria	no	419	no	no	celular	18	aug	113	4	-1	0	desconocido	no
32	technician	married	secundaria	no	2693	si	no	desconocido	21	may	16	1	-1	0	desconocido	no
36	blue-collar	married	secundaria	no	-231	no	si	celular	15	jul	779	2	-1	0	desconocido	no
51	management	single	terciario	si	-55	si	no	celular	11	may	281	2	266	6	fracaso	no
34	self-employed	single	terciario	no	462	no	no	celular	21	aug	1877	3	-1	0	desconocido	si
24	unemployed	single	secundaria	no	119	no	no	desconocido	15	sep	51	1	-1	0	desconocido	no
45	technician	single	secundaria	no	586	no	si	celular	28	jul	32	3	-1	0	desconocido	no
32	blue-collar	single	secundaria	no	228	no	no	teléfono	5	feb	176	1	288	3	fracaso	no
77	retired	divorced	terciario	no	4659	no	no	celular	14	apr	161	1	-1	0	desconocido	si
41	blue-collar	married	primaria	no	168	si	no	celular	18	nov	187	3	-1	0	desconocido	no
37	blue-collar	married	primaria	no	0	si	no	desconocido	26	may	24	1	-1	0	desconocido	no
43	blue-collar	married	desconocido	si	-715	si	no	desconocido	30	may	67	3	-1	0	desconocido	no
48	admin.	married	desconocido	no	0	si	no	celular	8	may	85	1	168	2	fracaso	no
27	technician	single	secundaria	no	769	si	no	desconocido	9	may	317	2	-1	0	desconocido	no
33	management	single	terciario	no	0	no	no	celular	28	aug	236	10	-1	0	desconocido	no
29	admin.	single	secundaria	no	428	si	si	celular	7	may	54	1	345	2	fracaso	no
34	management	single	terciario	no	0	no	no	celular	5	feb	71	1	-1	0	desconocido	no
52	management	married	terciario	no	-970	si	no	celular	4	feb	489	1	-1	0	desconocido	si
60	management	married	desconocido	no	6313	no	no	desconocido	19	jun	39	2	-1	0	desconocido	no
32	management	divorced	terciario	no	948	no	no	celular	12	aug	204	2	-1	0	desconocido	no
32	management	single	terciario	no	0	si	no	celular	22	jul	455	2	-1	0	desconocido	no
56	services	divorced	desconocido	no	1877	si	no	desconocido	30	may	86	1	-1	0	desconocido	no
31	management	single	terciario	no	874	si	no	celular	18	nov	190	2	-1	0	desconocido	no
42	admin.	married	secundaria	no	323	si	si	desconocido	8	may	280	2	-1	0	desconocido	no
35	management	married	terciario	no	106	no	si	celular	11	aug	588	2	-1	0	desconocido	no
56	retired	married	primaria	no	1906	no	si	desconocido	19	jun	45	9	-1	0	desconocido	no
48	technician	married	secundaria	no	1152	si	no	celular	21	jul	168	5	-1	0	desconocido	no
46	admin.	married	secundaria	no	179	si	no	celular	29	jan	194	4	436	1	otro	no
37	technician	single	desconocido	no	391	si	no	desconocido	8	may	103	3	-1	0	desconocido	no
41	entrepreneur	married	desconocido	no	89	si	no	desconocido	6	may	333	2	-1	0	desconocido	no
36	management	single	terciario	no	442	si	si	celular	29	jul	102	3	-1	0	desconocido	no
45	unemployed	divorced	primaria	si	-249	si	si	desconocido	1	jul	92	1	-1	0	desconocido	no
55	entrepreneur	married	secundaria	no	8104	no	no	celular	6	feb	213	2	-1	0	desconocido	no
39	technician	married	secundaria	no	501	no	no	desconocido	26	may	289	1	-1	0	desconocido	no
35	technician	divorced	secundaria	no	308	no	no	celular	22	aug	77	2	-1	0	desconocido	no
55	admin.	married	secundaria	no	602	no	no	celular	1	jun	324	3	90	2	éxito	si
55	technician	married	secundaria	no	273	si	no	celular	29	jan	84	3	183	3	fracaso	no
27	self-employed	single	secundaria	no	50	no	no	celular	29	jan	168	1	-1	0	desconocido	no
34	technician	married	secundaria	no	1641	si	no	celular	17	apr	380	1	-1	0	desconocido	no
34	blue-collar	married	terciario	no	20	no	no	desconocido	4	oct	10	1	-1	0	desconocido	no
25	admin.	single	secundaria	no	4590	si	no	desconocido	28	may	199	2	-1	0	desconocido	no
41	admin.	single	secundaria	no	-256	no	si	desconocido	9	may	35	3	-1	0	desconocido	no
43	services	married	secundaria	no	978	si	si	desconocido	26	may	82	2	-1	0	desconocido	no
28	management	single	terciario	no	80	no	no	celular	20	oct	676	2	146	2	fracaso	si
31	admin.	single	secundaria	no	2104	si	no	desconocido	3	jun	455	1	-1	0	desconocido	no
78	housemaid	married	secundaria	no	499	no	no	teléfono	16	mar	80	4	-1	0	desconocido	no
45	blue-collar	divorced	secundaria	no	1269	si	no	celular	29	jan	549	2	-1	0	desconocido	no
48	technician	married	terciario	no	310	no	no	desconocido	6	may	135	1	-1	0	desconocido	no
32	blue-collar	single	secundaria	no	1143	si	si	celular	10	jul	412	1	-1	0	desconocido	no
42	technician	married	secundaria	no	2980	no	no	desconocido	20	jun	101	3	-1	0	desconocido	no
37	management	single	terciario	no	37	no	no	celular	28	jan	253	2	-1	0	desconocido	no
40	admin.	single	secundaria	no	462	si	si	celular	6	apr	272	1	335	4	otro	no
32	admin.	married	secundaria	no	1031	si	no	celular	17	jul	84	1	-1	0	desconocido	no
42	management	married	terciario	no	9009	no	no	celular	20	nov	135	2	-1	0	desconocido	no
43	admin.	married	secundaria	no	-465	si	si	celular	23	jul	166	1	-1	0	desconocido	no
44	admin.	married	secundaria	no	5181	si	si	celular	31	jul	18	7	-1	0	desconocido	no
37	admin.	married	secundaria	no	176	si	no	celular	5	may	147	2	347	1	fracaso	no
37	desconocido	married	desconocido	no	1699	no	no	desconocido	9	jun	63	1	-1	0	desconocido	no
37	admin.	married	terciario	no	0	si	no	celular	17	nov	65	2	119	1	fracaso	no
28	technician	single	terciario	no	172	si	si	celular	2	feb	194	2	-1	0	desconocido	no
32	services	single	secundaria	no	0	no	si	celular	11	jul	333	2	-1	0	desconocido	no
34	admin.	single	secundaria	no	6979	si	no	celular	15	may	14	5	-1	0	desconocido	no
40	admin.	divorced	secundaria	no	6	no	no	desconocido	11	jun	140	1	-1	0	desconocido	no
34	services	married	secundaria	no	-62	si	no	desconocido	16	jun	109	3	-1	0	desconocido	no
34	self-employed	married	terciario	no	1972	si	no	celular	23	jul	61	2	-1	0	desconocido	no
34	admin.	married	terciario	no	899	si	no	teléfono	19	nov	377	3	7	4	éxito	no
37	services	single	secundaria	no	21	si	no	celular	2	feb	96	1	271	2	otro	no
36	technician	married	secundaria	no	23	si	no	celular	8	may	152	2	347	1	fracaso	no
56	retired	married	secundaria	no	-1206	si	no	celular	15	jun	382	2	-1	0	desconocido	si
49	blue-collar	married	primaria	no	0	si	si	teléfono	23	jul	97	6	-1	0	desconocido	no
33	self-employed	married	secundaria	no	215	si	no	celular	29	jul	543	12	-1	0	desconocido	no
30	management	single	terciario	no	1372	no	no	celular	20	nov	240	2	-1	0	desconocido	no
36	services	married	secundaria	no	1981	no	no	desconocido	17	jun	48	2	-1	0	desconocido	no
23	student	single	secundaria	no	9216	no	no	celular	5	jun	471	2	-1	0	desconocido	no
57	retired	divorced	secundaria	no	39	si	no	celular	30	jul	354	3	-1	0	desconocido	no
27	blue-collar	single	secundaria	no	5563	si	no	desconocido	30	may	435	2	-1	0	desconocido	no
38	services	married	secundaria	no	1	no	si	celular	21	nov	152	2	-1	0	desconocido	no
42	technician	married	terciario	no	782	no	no	celular	3	apr	285	1	-1	0	desconocido	no
75	retired	married	secundaria	no	3771	no	no	teléfono	15	apr	185	1	181	2	éxito	si
34	technician	single	terciario	no	992	si	no	celular	4	may	301	1	88	2	éxito	no
48	technician	married	secundaria	no	1526	no	no	celular	6	aug	273	2	-1	0	desconocido	no
35	technician	single	terciario	no	2658	si	no	celular	19	aug	768	2	141	3	fracaso	si
39	management	divorced	terciario	no	1315	si	no	celular	19	nov	1337	4	126	1	fracaso	no
29	blue-collar	single	terciario	no	455	no	no	teléfono	21	apr	403	1	-1	0	desconocido	si
45	technician	single	terciario	no	0	si	no	celular	18	nov	139	2	-1	0	desconocido	no
42	technician	married	secundaria	no	2030	si	si	celular	9	jul	196	1	-1	0	desconocido	no
29	technician	married	secundaria	no	1599	si	no	celular	8	jul	115	1	61	1	fracaso	no
38	services	single	secundaria	no	-196	si	no	celular	2	feb	60	1	271	1	fracaso	no
56	retired	married	secundaria	no	1333	no	no	celular	28	aug	17	14	-1	0	desconocido	no
36	technician	single	secundaria	no	9149	si	no	celular	13	aug	141	3	-1	0	desconocido	no
25	blue-collar	single	secundaria	no	-350	si	no	desconocido	23	jun	95	3	-1	0	desconocido	no
38	technician	married	terciario	no	432	si	no	celular	15	may	10	2	373	1	otro	no
57	self-employed	married	secundaria	no	11494	no	no	celular	19	nov	198	1	-1	0	desconocido	no
31	management	married	terciario	si	-253	no	no	celular	12	aug	220	4	-1	0	desconocido	no
42	management	married	terciario	no	372	si	no	celular	3	aug	654	2	-1	0	desconocido	si
45	technician	married	secundaria	no	1410	no	no	celular	11	aug	71	2	-1	0	desconocido	no
30	blue-collar	married	secundaria	no	975	si	no	celular	13	may	256	2	351	2	fracaso	no
49	blue-collar	married	primaria	no	305	si	si	teléfono	10	jul	834	10	-1	0	desconocido	no
49	services	married	secundaria	no	400	no	no	celular	21	aug	151	3	-1	0	desconocido	no
53	retired	married	terciario	no	-22	si	no	celular	31	jul	20	3	-1	0	desconocido	no
37	technician	married	secundaria	no	4030	si	no	desconocido	26	may	178	5	-1	0	desconocido	no
49	blue-collar	married	primaria	no	365	no	no	desconocido	26	may	59	2	-1	0	desconocido	no
41	self-employed	married	primaria	no	204	no	no	celular	13	aug	111	7	-1	0	desconocido	no
54	management	married	primaria	no	1691	si	no	celular	20	nov	186	1	-1	0	desconocido	no
32	services	single	secundaria	no	406	si	no	desconocido	6	may	227	1	-1	0	desconocido	no
33	technician	married	secundaria	no	-204	no	no	celular	15	may	297	3	-1	0	desconocido	no
33	technician	married	secundaria	no	359	si	no	celular	20	apr	210	1	242	1	otro	no
36	blue-collar	married	primaria	no	123	si	no	celular	18	may	9	1	-1	0	desconocido	no
35	technician	married	terciario	no	0	si	si	celular	23	sep	112	1	62	6	otro	no
52	desconocido	married	secundaria	no	142	no	no	celular	25	aug	112	6	-1	0	desconocido	no
40	entrepreneur	married	terciario	no	3571	no	no	desconocido	9	jun	222	3	-1	0	desconocido	no
44	technician	single	secundaria	no	33	si	no	celular	13	may	195	3	351	10	fracaso	no
45	blue-collar	single	secundaria	no	0	si	no	celular	26	jul	768	2	91	5	éxito	no
30	student	single	secundaria	no	3096	no	no	celular	26	jan	123	1	-1	0	desconocido	no
48	technician	divorced	secundaria	si	20	no	no	celular	27	aug	145	3	-1	0	desconocido	no
33	blue-collar	married	secundaria	no	3576	si	no	celular	2	apr	124	1	308	2	otro	no
57	technician	married	desconocido	no	206	si	no	desconocido	5	may	216	3	-1	0	desconocido	no
57	housemaid	married	primaria	no	7082	no	no	desconocido	6	jun	69	3	-1	0	desconocido	no
51	unemployed	married	terciario	no	1634	si	no	celular	22	jul	168	4	-1	0	desconocido	no
34	admin.	single	secundaria	no	1	si	no	celular	22	jul	483	7	-1	0	desconocido	no
50	self-employed	married	terciario	no	4012	no	no	celular	19	nov	690	3	-1	0	desconocido	no
44	management	married	terciario	no	3762	no	no	celular	28	aug	125	12	-1	0	desconocido	no
27	admin.	married	secundaria	no	-247	si	si	desconocido	4	jun	344	2	-1	0	desconocido	no
50	blue-collar	married	secundaria	no	606	si	no	desconocido	14	may	673	2	-1	0	desconocido	no
36	management	married	terciario	no	0	si	no	celular	28	jan	60	1	250	1	otro	no
42	management	married	secundaria	no	-189	si	no	desconocido	12	may	247	2	-1	0	desconocido	no
32	unemployed	single	secundaria	no	0	no	no	celular	27	may	123	2	-1	0	desconocido	no
42	management	married	terciario	no	484	si	no	celular	11	jul	144	2	-1	0	desconocido	no
43	technician	married	secundaria	no	0	no	si	celular	8	may	9	2	172	5	fracaso	no
31	management	married	terciario	no	395	si	no	celular	9	feb	155	3	-1	0	desconocido	no
32	management	married	terciario	no	2349	no	no	celular	14	aug	134	5	-1	0	desconocido	no
55	blue-collar	divorced	primaria	no	410	no	si	celular	11	jul	221	2	-1	0	desconocido	no
58	retired	married	primaria	no	3401	si	no	celular	3	feb	84	3	265	2	fracaso	no
46	blue-collar	married	primaria	no	222	no	no	celular	8	aug	71	2	-1	0	desconocido	no
55	blue-collar	married	secundaria	no	989	si	si	desconocido	23	may	246	4	-1	0	desconocido	no
34	management	married	terciario	no	415	no	si	celular	23	jul	361	2	-1	0	desconocido	no
28	unemployed	single	secundaria	no	16	no	no	celular	12	aug	119	4	-1	0	desconocido	no
42	technician	divorced	terciario	no	7190	si	no	celular	29	jul	375	2	-1	0	desconocido	no
29	blue-collar	single	secundaria	no	482	no	si	celular	10	jul	1097	3	-1	0	desconocido	si
54	housemaid	married	secundaria	no	209	si	si	celular	25	jul	97	1	-1	0	desconocido	no
32	technician	single	secundaria	no	0	no	no	celular	26	aug	181	2	-1	0	desconocido	no
39	technician	single	terciario	no	5803	no	no	celular	2	feb	83	3	-1	0	desconocido	no
53	entrepreneur	married	terciario	no	624	no	si	celular	21	jul	180	4	-1	0	desconocido	no
58	technician	married	terciario	no	883	no	no	celular	18	aug	543	1	78	2	fracaso	no
40	self-employed	married	secundaria	no	1516	si	si	desconocido	23	may	373	1	-1	0	desconocido	no
29	student	single	secundaria	no	872	si	no	desconocido	7	may	230	1	-1	0	desconocido	no
33	technician	married	terciario	no	-988	si	si	celular	15	jul	83	3	-1	0	desconocido	no
38	admin.	single	secundaria	no	902	si	no	teléfono	31	jul	58	13	-1	0	desconocido	no
56	services	divorced	secundaria	no	1007	no	no	celular	29	jul	88	6	-1	0	desconocido	no
40	services	married	secundaria	no	0	si	no	celular	2	jun	297	1	28	3	fracaso	no
24	blue-collar	single	secundaria	no	174	si	si	celular	18	may	487	1	-1	0	desconocido	si
46	management	married	secundaria	no	12186	no	no	desconocido	20	jun	29	3	-1	0	desconocido	no
35	self-employed	married	secundaria	no	524	si	no	celular	21	nov	484	4	-1	0	desconocido	no
35	blue-collar	single	terciario	no	0	si	no	celular	21	jul	262	4	-1	0	desconocido	no
34	technician	married	secundaria	no	4	si	no	desconocido	15	may	644	1	-1	0	desconocido	no
35	housemaid	married	terciario	no	11219	no	no	celular	12	aug	699	2	79	1	fracaso	no
38	technician	single	terciario	no	0	no	no	celular	28	aug	247	2	-1	0	desconocido	no
50	blue-collar	married	primaria	no	5776	no	no	celular	18	nov	49	3	-1	0	desconocido	no
51	blue-collar	divorced	primaria	no	37	si	no	celular	13	may	341	1	-1	0	desconocido	no
59	self-employed	married	terciario	no	593	no	no	desconocido	13	may	64	2	-1	0	desconocido	no
32	blue-collar	married	secundaria	no	1148	si	no	celular	20	apr	121	1	-1	0	desconocido	no
37	blue-collar	single	secundaria	no	3561	si	no	desconocido	2	jun	98	1	-1	0	desconocido	no
42	admin.	divorced	secundaria	no	63	no	no	desconocido	16	may	88	6	-1	0	desconocido	no
40	student	married	secundaria	no	260	no	no	desconocido	20	jun	197	6	-1	0	desconocido	no
28	technician	single	terciario	no	2269	si	no	desconocido	9	may	331	1	-1	0	desconocido	no
47	admin.	married	secundaria	no	1060	si	no	desconocido	6	jun	83	3	-1	0	desconocido	no
27	self-employed	married	secundaria	no	-220	si	no	desconocido	26	may	138	2	-1	0	desconocido	no
41	management	married	terciario	no	49	si	no	celular	17	jul	312	5	-1	0	desconocido	no
34	admin.	married	terciario	no	69	no	si	celular	4	aug	120	3	1	6	éxito	si
50	blue-collar	married	primaria	no	4108	si	no	celular	7	aug	526	2	-1	0	desconocido	si
47	blue-collar	married	secundaria	no	480	si	no	desconocido	28	may	211	2	-1	0	desconocido	no
53	services	married	secundaria	no	4994	no	no	celular	18	aug	62	6	-1	0	desconocido	no
53	technician	divorced	secundaria	no	0	si	si	celular	15	jul	135	5	-1	0	desconocido	no
47	management	married	terciario	no	3681	no	no	celular	14	aug	101	2	-1	0	desconocido	no
49	entrepreneur	divorced	desconocido	si	-701	si	no	celular	30	jul	988	2	-1	0	desconocido	si
29	management	married	terciario	no	451	no	no	celular	28	jan	451	1	-1	0	desconocido	no
45	blue-collar	divorced	primaria	no	-311	si	no	desconocido	23	may	1030	1	-1	0	desconocido	si
38	entrepreneur	married	secundaria	no	593	si	si	celular	24	jul	1484	24	-1	0	desconocido	si
32	blue-collar	married	secundaria	no	759	si	no	celular	9	apr	317	5	-1	0	desconocido	si
70	retired	divorced	primaria	no	4531	no	no	celular	18	may	445	1	-1	0	desconocido	no
65	retired	divorced	primaria	no	1840	no	no	celular	1	jun	383	2	188	5	fracaso	no
56	blue-collar	married	secundaria	no	345	si	no	teléfono	22	jul	605	1	-1	0	desconocido	no
35	blue-collar	married	secundaria	no	1287	si	no	celular	14	jul	330	2	-1	0	desconocido	no
56	management	married	desconocido	no	353	no	si	celular	25	jul	171	2	-1	0	desconocido	no
56	technician	married	secundaria	no	205	no	si	celular	23	jul	442	2	-1	0	desconocido	no
49	entrepreneur	married	secundaria	no	687	si	no	celular	17	apr	772	1	-1	0	desconocido	si
