EDAD	TRABAJO	PESOFIN	EDUCACION	EDUCACIONNUM	ESTADOCIV	OCUPACION	RELACION	RAZA	SEXO	CAPGANADO	CAPPERD	HORASEMA	PAISC	INGRESO
44	 Privado	128354	 Masters	14	Divorciado	 Exec-magerial	No-casado	 Blanca	 Femenino	0	0	40	 Estados-Unidos	 <=50K
41	 State-gov	101603	 Assoc-voc	11	Casado-civil	 Craft-repair	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
29	 Privado	271466	 Assoc-voc	11	 Nunca-casado	 Prof-specialty	 Not-in-family	 Blanca	 Masculino	0	0	43	 Estados-Unidos	 <=50K
25	 Privado	32275	 Some-college	10	Casado-civil	 Exec-magerial	 Esposa	 Otra	 Femenino	0	0	40	 Estados-Unidos	 <=50K
18	 Privado	226956	 HS-grad	9	 Nunca-casado	 Other-service	Niño-propio	 Blanca	 Femenino	0	0	30		 <=50K
47	 Privado	51835	 Prof-school	15	Casado-civil	 Prof-specialty	 Esposa	 Blanca	 Femenino	0	1902	60	 Honduras	 >50K
50	 Federal-gov	251585	 Bachelors	13	Divorciado	 Exec-magerial	 Not-in-family	 Blanca	 Masculino	0	0	55	 Estados-Unidos	 >50K
47	 Self-emp-inc	109832	 HS-grad	9	Divorciado	 Exec-magerial	 Not-in-family	 Blanca	 Masculino	0	0	60	 Estados-Unidos	 <=50K
43	 Privado	237993	 Some-college	10	Casado-civil	 Tech-support	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 >50K
46	 Privado	216666	 5th-6th	3	Casado-civil	 Machine-op-inspct	 Esposo	 Blanca	 Masculino	0	0	40	 Mexico	 <=50K
35	 Privado	56352	 Assoc-voc	11	Casado-civil	 Other-service	 Esposo	 Blanca	 Masculino	0	0	40	 Puerto-Rico	 <=50K
41	 Privado	147372	 HS-grad	9	Casado-civil	 Adm-clerical	 Esposo	 Blanca	 Masculino	0	0	48	 Estados-Unidos	 <=50K
30	 Privado	188146	 HS-grad	9	Casado-civil	 Machine-op-inspct	 Esposo	 Blanca	 Masculino	5013	0	40	 Estados-Unidos	 <=50K
30	 Privado	59496	 Bachelors	13	Casado-civil	 Sales	 Esposo	 Blanca	 Masculino	2407	0	40	 Estados-Unidos	 <=50K
32		293936	 7th-8th	4	 Casado-conyuge-ausente		 Not-in-family	 Blanca	 Masculino	0	0	40		 <=50K
48	 Privado	149640	 HS-grad	9	Casado-civil	 Transport-moving	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
42	 Privado	116632	 Doctorate	16	Casado-civil	 Prof-specialty	 Esposo	 Blanca	 Masculino	0	0	45	 Estados-Unidos	 >50K
29	 Privado	105598	 Some-college	10	Divorciado	 Tech-support	 Not-in-family	 Blanca	 Masculino	0	0	58	 Estados-Unidos	 <=50K
36	 Privado	155537	 HS-grad	9	Casado-civil	 Craft-repair	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
28	 Privado	183175	 Some-college	10	Divorciado	 Adm-clerical	 Not-in-family	 Blanca	 Femenino	0	0	40	 Estados-Unidos	 <=50K
53	 Privado	169846	 HS-grad	9	Casado-civil	 Adm-clerical	 Esposa	 Blanca	 Femenino	0	0	40	 Estados-Unidos	 >50K
49	 Self-emp-inc	191681	 Some-college	10	Casado-civil	 Exec-magerial	 Esposo	 Blanca	 Masculino	0	0	50	 Estados-Unidos	 >50K
25		200681	 Some-college	10	 Nunca-casado		Niño-propio	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
19	 Privado	101509	 Some-college	10	 Nunca-casado	 Prof-specialty	Niño-propio	 Blanca	 Masculino	0	0	32	 Estados-Unidos	 <=50K
31	 Privado	309974	 Bachelors	13	Separado	 Sales	Niño-propio	 Negra	 Femenino	0	0	40	 Estados-Unidos	 <=50K
29	 Self-emp-not-inc	162298	 Bachelors	13	Casado-civil	 Sales	 Esposo	 Blanca	 Masculino	0	0	70	 Estados-Unidos	 >50K
23	 Privado	211678	 Some-college	10	 Nunca-casado	 Machine-op-inspct	 Not-in-family	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
79	 Privado	124744	 Some-college	10	Casado-civil	 Prof-specialty	 Other-relative	 Blanca	 Masculino	0	0	20	 Estados-Unidos	 <=50K
27	 Privado	213921	 HS-grad	9	 Nunca-casado	 Other-service	Niño-propio	 Blanca	 Masculino	0	0	40	 Mexico	 <=50K
40	 Privado	32214	 Assoc-acdm	12	Casado-civil	 Adm-clerical	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
67		212759	 10th	6	Casado-civil		 Esposo	 Blanca	 Masculino	0	0	2	 Estados-Unidos	 <=50K
18	 Privado	309634	 11th	7	 Nunca-casado	 Other-service	Niño-propio	 Blanca	 Femenino	0	0	22	 Estados-Unidos	 <=50K
31	 Local-gov	125927	 7th-8th	4	Casado-civil	 Farming-fishing	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
18	 Privado	446839	 HS-grad	9	 Nunca-casado	 Sales	 Not-in-family	 Blanca	 Masculino	0	0	30	 Estados-Unidos	 <=50K
52	 Privado	276515	 Bachelors	13	Casado-civil	 Other-service	 Esposo	 Blanca	 Masculino	0	0	40	 Cuba	 <=50K
46	 Privado	51618	 HS-grad	9	Casado-civil	 Other-service	 Esposa	 Blanca	 Femenino	0	0	40	 Estados-Unidos	 <=50K
59	 Privado	159937	 HS-grad	9	Casado-civil	 Sales	 Esposo	 Blanca	 Masculino	0	0	48	 Estados-Unidos	 <=50K
44	 Privado	343591	 HS-grad	9	Divorciado	 Craft-repair	 Not-in-family	 Blanca	 Femenino	14344	0	40	 Estados-Unidos	 >50K
53	 Privado	346253	 HS-grad	9	Divorciado	 Sales	Niño-propio	 Blanca	 Femenino	0	0	35	 Estados-Unidos	 <=50K
49	 Local-gov	268234	 HS-grad	9	Casado-civil	 Protective-serv	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 >50K
33	 Privado	202051	 Masters	14	Casado-civil	 Prof-specialty	 Esposo	 Blanca	 Masculino	0	0	50	 Estados-Unidos	 <=50K
30	 Privado	54334	 9th	5	 Nunca-casado	 Sales	 Not-in-family	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
43	 Federal-gov	410867	 Doctorate	16	 Nunca-casado	 Prof-specialty	 Not-in-family	 Blanca	 Femenino	0	0	50	 Estados-Unidos	 >50K
57	 Privado	249977	 Assoc-voc	11	Casado-civil	 Prof-specialty	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
37	 Privado	286730	 Some-college	10	Divorciado	 Craft-repair	No-casado	 Blanca	 Femenino	0	0	40	 Estados-Unidos	 <=50K
28	 Privado	212563	 Some-college	10	Divorciado	 Machine-op-inspct	No-casado	 Negra	 Femenino	0	0	25	 Estados-Unidos	 <=50K
30	 Privado	117747	 HS-grad	9	Casado-civil	 Sales	 Esposa	 Asian-Pac-Islander	 Femenino	0	1573	35		 <=50K
34	 Local-gov	226296	 Bachelors	13	Casado-civil	 Protective-serv	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 >50K
29	 Local-gov	115585	 Some-college	10	 Nunca-casado	 Handlers-cleaners	 Not-in-family	 Blanca	 Masculino	0	0	50	 Estados-Unidos	 <=50K
48	 Self-emp-not-inc	191277	 Doctorate	16	Casado-civil	 Prof-specialty	 Esposo	 Blanca	 Masculino	0	1902	60	 Estados-Unidos	 >50K
37	 Privado	202683	 Some-college	10	Casado-civil	 Sales	 Esposo	 Blanca	 Masculino	0	0	48	 Estados-Unidos	 >50K
48	 Privado	171095	 Assoc-acdm	12	Divorciado	 Exec-magerial	No-casado	 Blanca	 Femenino	0	0	40	 England	 <=50K
32	 Federal-gov	249409	 HS-grad	9	 Nunca-casado	 Other-service	Niño-propio	 Negra	 Masculino	0	0	40	 Estados-Unidos	 <=50K
76	 Privado	124191	 Masters	14	Casado-civil	 Exec-magerial	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 >50K
44	 Privado	198282	 Bachelors	13	Casado-civil	 Exec-magerial	 Esposo	 Blanca	 Masculino	15024	0	60	 Estados-Unidos	 >50K
47	 Self-emp-not-inc	149116	 Masters	14	 Nunca-casado	 Prof-specialty	 Not-in-family	 Blanca	 Femenino	0	0	50	 Estados-Unidos	 <=50K
20	 Privado	188300	 Some-college	10	 Nunca-casado	 Tech-support	Niño-propio	 Blanca	 Femenino	0	0	40	 Estados-Unidos	 <=50K
29	 Privado	103432	 HS-grad	9	 Nunca-casado	 Craft-repair	 Not-in-family	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
32	 Self-emp-inc	317660	 HS-grad	9	Casado-civil	 Craft-repair	 Esposo	 Blanca	 Masculino	7688	0	40	 Estados-Unidos	 >50K
17		304873	 10th	6	 Nunca-casado		Niño-propio	 Blanca	 Femenino	34095	0	32	 Estados-Unidos	 <=50K
30	 Privado	194901	 11th	7	 Nunca-casado	 Handlers-cleaners	Niño-propio	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
31	 Local-gov	189265	 HS-grad	9	 Nunca-casado	 Adm-clerical	 Not-in-family	 Blanca	 Femenino	0	0	40	 Estados-Unidos	 <=50K
42	 Privado	124692	 HS-grad	9	Casado-civil	 Handlers-cleaners	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
24	 Privado	432376	 Bachelors	13	 Nunca-casado	 Sales	 Other-relative	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
38	 Privado	65324	 Prof-school	15	Casado-civil	 Prof-specialty	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 >50K
56	 Self-emp-not-inc	335605	 HS-grad	9	Casado-civil	 Other-service	 Esposo	 Blanca	 Masculino	0	1887	50	 Cada	 >50K
28	 Privado	377869	 Some-college	10	Casado-civil	 Sales	 Esposa	 Blanca	 Femenino	4064	0	25	 Estados-Unidos	 <=50K
36	 Privado	102864	 HS-grad	9	 Nunca-casado	 Machine-op-inspct	Niño-propio	 Blanca	 Femenino	0	0	40	 Estados-Unidos	 <=50K
53	 Privado	95647	 9th	5	Casado-civil	 Handlers-cleaners	 Esposo	 Blanca	 Masculino	0	0	50	 Estados-Unidos	 <=50K
56	 Self-emp-inc	303090	 Some-college	10	Casado-civil	 Sales	 Esposo	 Blanca	 Masculino	0	0	50	 Estados-Unidos	 <=50K
49	 Local-gov	197371	 Assoc-voc	11	Casado-civil	 Craft-repair	 Esposo	 Negra	 Masculino	0	0	40	 Estados-Unidos	 >50K
55	 Privado	247552	 Some-college	10	Casado-civil	 Sales	 Esposo	 Blanca	 Masculino	0	0	56	 Estados-Unidos	 <=50K
22	 Privado	102632	 HS-grad	9	 Nunca-casado	 Craft-repair	 Not-in-family	 Blanca	 Masculino	0	0	41	 Estados-Unidos	 <=50K
21	 Privado	199915	 Some-college	10	 Nunca-casado	 Other-service	Niño-propio	 Blanca	 Femenino	0	0	40	 Estados-Unidos	 <=50K
40	 Privado	118853	 Bachelors	13	Casado-civil	 Exec-magerial	 Esposo	 Blanca	 Masculino	0	0	60	 Estados-Unidos	 <=50K
30	 Privado	77143	 Bachelors	13	 Nunca-casado	 Exec-magerial	Niño-propio	 Negra	 Masculino	0	0	40	Alemania	 <=50K
29	 State-gov	267989	 Bachelors	13	Casado-civil	 Prof-specialty	 Esposo	 Blanca	 Masculino	0	0	50	 Estados-Unidos	 >50K
19	 Privado	301606	 Some-college	10	 Nunca-casado	 Other-service	Niño-propio	 Negra	 Masculino	0	0	35	 Estados-Unidos	 <=50K
47	 Privado	287828	 Bachelors	13	Casado-civil	 Exec-magerial	 Esposa	 Blanca	 Femenino	0	0	40	 Estados-Unidos	 >50K
20	 Privado	111697	 Some-college	10	 Nunca-casado	 Adm-clerical	Niño-propio	 Blanca	 Femenino	0	1719	28	 Estados-Unidos	 <=50K
31	 Privado	114937	 Assoc-acdm	12	Casado-civil	 Adm-clerical	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 >50K
35		129305	 HS-grad	9	Casado-civil		 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
39	 Privado	365739	 Some-college	10	Divorciado	 Craft-repair	 Not-in-family	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
28	 Privado	69621	 Assoc-acdm	12	 Nunca-casado	 Sales	 Not-in-family	 Blanca	 Femenino	0	0	60	 Estados-Unidos	 <=50K
24	 Privado	43323	 HS-grad	9	 Nunca-casado	 Other-service	 Not-in-family	 Blanca	 Femenino	0	1762	40	 Estados-Unidos	 <=50K
38	 Self-emp-not-inc	120985	 HS-grad	9	Casado-civil	 Craft-repair	 Esposo	 Blanca	 Masculino	4386	0	35	 Estados-Unidos	 <=50K
37	 Privado	254202	 Bachelors	13	Casado-civil	 Sales	 Esposo	 Blanca	 Masculino	0	0	50	 Estados-Unidos	 <=50K
46	 Privado	146195	 Assoc-acdm	12	Divorciado	 Tech-support	 Not-in-family	 Negra	 Femenino	0	0	36	 Estados-Unidos	 <=50K
38	 Federal-gov	125933	 Masters	14	Casado-civil	 Prof-specialty	 Esposo	 Blanca	 Masculino	0	0	40	 Iran	 >50K
43	 Self-emp-not-inc	56920	 HS-grad	9	Casado-civil	 Craft-repair	 Esposo	 Blanca	 Masculino	0	0	60	 Estados-Unidos	 <=50K
27	 Privado	163127	 Assoc-voc	11	Casado-civil	 Adm-clerical	 Esposa	 Blanca	 Femenino	0	0	35	 Estados-Unidos	 <=50K
20	 Privado	34310	 Some-college	10	 Nunca-casado	 Sales	Niño-propio	 Blanca	 Masculino	0	0	20	 Estados-Unidos	 <=50K
49	 Privado	81973	 Some-college	10	Casado-civil	 Craft-repair	 Esposo	 Asian-Pac-Islander	 Masculino	0	0	40	 Estados-Unidos	 >50K
61	 Self-emp-inc	66614	 HS-grad	9	Casado-civil	 Craft-repair	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
27	 Privado	232782	 Some-college	10	 Nunca-casado	 Sales	Niño-propio	 Blanca	 Femenino	0	0	40	 Estados-Unidos	 <=50K
19	 Privado	316868	 Some-college	10	 Nunca-casado	 Other-service	Niño-propio	 Blanca	 Masculino	0	0	30	 Mexico	 <=50K
45	 Privado	196584	 Assoc-voc	11	 Nunca-casado	 Prof-specialty	 Not-in-family	 Blanca	 Femenino	0	1564	40	 Estados-Unidos	 >50K
70	 Privado	105376	 Some-college	10	 Nunca-casado	 Tech-support	 Other-relative	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
31	 Privado	185814	 HS-grad	9	 Nunca-casado	 Transport-moving	No-casado	 Negra	 Femenino	0	0	30	 Estados-Unidos	 <=50K
22	 Privado	175374	 Some-college	10	Casado-civil	 Other-service	 Esposo	 Blanca	 Masculino	0	0	24	 Estados-Unidos	 <=50K
36	 Privado	108293	 HS-grad	9	Viudo	 Other-service	No-casado	 Blanca	 Femenino	0	0	24	 Estados-Unidos	 <=50K
64	 Privado	181232	 11th	7	Casado-civil	 Craft-repair	 Esposo	 Blanca	 Masculino	0	2179	40	 Estados-Unidos	 <=50K
43		174662	 Some-college	10	Divorciado		 Not-in-family	 Blanca	 Femenino	0	0	40	 Estados-Unidos	 <=50K
47	 Local-gov	186009	 Some-college	10	Divorciado	 Adm-clerical	No-casado	 Blanca	 Femenino	0	0	38	 Mexico	 <=50K
34	 Privado	198183	 HS-grad	9	 Nunca-casado	 Adm-clerical	 Not-in-family	 Blanca	 Femenino	0	0	40	 Estados-Unidos	 <=50K
33	 Privado	163003	 Bachelors	13	 Nunca-casado	 Exec-magerial	 Other-relative	 Asian-Pac-Islander	 Femenino	0	0	40	 Philippines	 <=50K
21	 Privado	296158	 HS-grad	9	 Nunca-casado	 Craft-repair	Niño-propio	 Blanca	 Masculino	0	0	35	 Estados-Unidos	 <=50K
52		252903	 HS-grad	9	Divorciado		 Not-in-family	 Blanca	 Masculino	0	0	45	 Estados-Unidos	 >50K
48	 Privado	187715	 HS-grad	9	Casado-civil	 Craft-repair	 Esposo	 Blanca	 Masculino	0	0	46	 Estados-Unidos	 <=50K
23	 Privado	214542	 Bachelors	13	 Nunca-casado	 Handlers-cleaners	 Not-in-family	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
71	 Self-emp-not-inc	494223	 Some-college	10	Separado	 Sales	No-casado	 Negra	 Masculino	0	1816	2	 Estados-Unidos	 <=50K
29	 Privado	191535	 HS-grad	9	Divorciado	 Craft-repair	 Not-in-family	 Blanca	 Masculino	0	0	60	 Estados-Unidos	 <=50K
42	 Privado	228456	 Bachelors	13	Separado	 Other-service	 Other-relative	 Negra	 Masculino	0	0	50	 Estados-Unidos	 <=50K
68		38317	 1st-4th	2	Divorciado		 Not-in-family	 Blanca	 Femenino	0	0	20	 Estados-Unidos	 <=50K
25	 Privado	252752	 HS-grad	9	 Nunca-casado	 Other-service	No-casado	 Blanca	 Femenino	0	0	40	 Estados-Unidos	 <=50K
44	 Self-emp-inc	78374	 Masters	14	Divorciado	 Exec-magerial	No-casado	 Asian-Pac-Islander	 Femenino	0	0	40	 Estados-Unidos	 <=50K
28	 Privado	88419	 HS-grad	9	 Nunca-casado	 Exec-magerial	 Not-in-family	 Asian-Pac-Islander	 Femenino	0	0	40	 England	 <=50K
45	 Self-emp-not-inc	201080	 Masters	14	Casado-civil	 Sales	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 >50K
36	 Privado	207157	 Some-college	10	Divorciado	 Other-service	No-casado	 Blanca	 Femenino	0	0	40	 Mexico	 <=50K
39	 Federal-gov	235485	 Assoc-acdm	12	 Nunca-casado	 Exec-magerial	 Not-in-family	 Blanca	 Masculino	0	0	42	 Estados-Unidos	 <=50K
46	 State-gov	102628	 Masters	14	Viudo	 Protective-serv	No-casado	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
18	 Privado	25828	 11th	7	 Nunca-casado	 Handlers-cleaners	Niño-propio	 Blanca	 Masculino	0	0	16	 Estados-Unidos	 <=50K
66	 Local-gov	54826	 Assoc-voc	11	Viudo	 Prof-specialty	 Not-in-family	 Blanca	 Femenino	0	0	20	 Estados-Unidos	 <=50K
27	 Privado	124953	 HS-grad	9	 Nunca-casado	 Other-service	 Not-in-family	 Blanca	 Masculino	0	1980	40	 Estados-Unidos	 <=50K
28	 State-gov	175325	 HS-grad	9	Casado-civil	 Protective-serv	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
51	 Privado	96062	 Some-college	10	Casado-civil	 Sales	 Esposo	 Blanca	 Masculino	0	1977	40	 Estados-Unidos	 >50K
27	 Privado	428030	 Bachelors	13	 Nunca-casado	 Craft-repair	 Not-in-family	 Blanca	 Masculino	0	0	50	 Estados-Unidos	 <=50K
28	 State-gov	149624	 Bachelors	13	Casado-civil	 Prof-specialty	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 >50K
27	 Privado	253814	 HS-grad	9	 Casado-conyuge-ausente	 Sales	No-casado	 Blanca	 Femenino	0	0	25	 Estados-Unidos	 <=50K
21	 Privado	312956	 HS-grad	9	 Nunca-casado	 Craft-repair	Niño-propio	 Negra	 Masculino	0	0	40	 Estados-Unidos	 <=50K
34	 Privado	483777	 HS-grad	9	 Nunca-casado	 Handlers-cleaners	 Not-in-family	 Negra	 Masculino	0	0	40	 Estados-Unidos	 <=50K
18	 Privado	183930	 HS-grad	9	 Nunca-casado	 Other-service	Niño-propio	 Blanca	 Masculino	0	0	12	 Estados-Unidos	 <=50K
33	 Privado	37274	 Bachelors	13	Casado-civil	 Prof-specialty	 Esposo	 Blanca	 Masculino	0	0	65	 Estados-Unidos	 <=50K
44	 Local-gov	181344	 Some-college	10	Casado-civil	 Exec-magerial	 Esposo	 Negra	 Masculino	0	0	38	 Estados-Unidos	 >50K
43	 Privado	114580	 Some-college	10	Divorciado	 Adm-clerical	 Not-in-family	 Blanca	 Femenino	0	0	40	 Estados-Unidos	 <=50K
30	 Privado	633742	 Some-college	10	 Nunca-casado	 Craft-repair	 Not-in-family	 Negra	 Masculino	0	0	45	 Estados-Unidos	 <=50K
40	 Privado	286370	 7th-8th	4	Casado-civil	 Machine-op-inspct	 Esposo	 Blanca	 Masculino	0	0	40	 Mexico	 >50K
37	 Federal-gov	29054	 Some-college	10	Casado-civil	 Adm-clerical	 Esposo	 Blanca	 Masculino	0	0	42	 Estados-Unidos	 >50K
