Edad	Genero	CasaPropia	EstadoCiv	Ubicación	Salario	Niños	Historia	Catalogos	MontoDinero
Mayor	Mujer	Propia	Soltero	Cerca	14600	0	Baja	24	468
Mayor	Mujer	Propia	Casado	Cerca	62600	0	Alta	6	565
Joven	Hombre	Alquilada	Casado	Cerca	66700	0	NA	18	1310
Adulto	Hombre	Propia	Casado	Lejos	72500	0	NA	24	2595
Joven	Mujer	Alquilada	Soltero	Lejos	13200	0	NA	24	358
Adulto	Mujer	Propia	Soltero	Cerca	51300	0	Media	24	1424
Adulto	Hombre	Propia	Soltero	Lejos	72300	0	Alta	24	4182
Joven	Mujer	Alquilada	Soltero	Cerca	15600	0	NA	12	468
Adulto	Mujer	Propia	Casado	Lejos	90400	1	Alta	18	2924
Adulto	Hombre	Propia	Soltero	Lejos	71500	0	NA	6	964
Joven	Hombre	Alquilada	Soltero	Cerca	14400	0	NA	24	615
Joven	Hombre	Alquilada	Soltero	Cerca	15000	3	Baja	6	38
Adulto	Hombre	Propia	Soltero	Cerca	57600	1	NA	6	1006
Joven	Mujer	Alquilada	Casado	Cerca	60600	3	Baja	12	307
Adulto	Hombre	Propia	Casado	Lejos	84300	2	Alta	18	1648
Joven	Mujer	Propia	Soltero	Cerca	24400	1	Baja	6	220
Joven	Mujer	Alquilada	Soltero	Cerca	22100	2	Baja	18	280
Adulto	Hombre	Alquilada	Casado	Lejos	48800	2	NA	12	1647
Adulto	Mujer	Propia	Casado	Cerca	74700	1	Media	6	704
Joven	Mujer	Alquilada	Soltero	Lejos	32400	1	Media	24	920
Mayor	Mujer	Propia	Soltero	Cerca	11400	0	NA	6	258
Adulto	Hombre	Propia	Casado	Cerca	127000	0	NA	12	1821
Adulto	Hombre	Alquilada	Soltero	Cerca	47200	0	Media	18	1587
Adulto	Mujer	Propia	Soltero	Cerca	48700	2	Baja	12	528
Joven	Hombre	Alquilada	Soltero	Lejos	20400	0	Media	18	867
Adulto	Hombre	Alquilada	Soltero	Cerca	39000	0	NA	6	643
Joven	Mujer	Alquilada	Soltero	Cerca	12900	1	Baja	6	107
Adulto	Mujer	Alquilada	Casado	Lejos	67300	1	Alta	18	1513
Mayor	Hombre	Propia	Casado	Cerca	134500	0	Alta	24	4558
Mayor	Hombre	Propia	Casado	Cerca	75500	0	Alta	6	741
Mayor	Mujer	Propia	Casado	Lejos	33600	2	Media	12	805
Joven	Mujer	Alquilada	Soltero	Cerca	16300	1	NA	12	470
Joven	Hombre	Alquilada	Casado	Cerca	27400	1	Baja	6	278
Adulto	Mujer	Propia	Casado	Cerca	110400	3	Baja	24	1093
Joven	Mujer	Alquilada	Soltero	Lejos	21100	1	Baja	6	470
Adulto	Hombre	Propia	Casado	Cerca	81200	0	Alta	24	1856
Adulto	Hombre	Alquilada	Casado	Lejos	87100	2	Alta	18	1688
Joven	Mujer	Alquilada	Soltero	Lejos	21700	3	NA	24	708
Adulto	Mujer	Alquilada	Soltero	Cerca	42200	0	NA	18	1753
Adulto	Hombre	Alquilada	Soltero	Lejos	59000	0	Alta	24	3044
Adulto	Mujer	Propia	Soltero	Cerca	52700	2	Baja	18	855
Joven	Hombre	Propia	Soltero	Cerca	20900	0	Baja	24	550
Adulto	Hombre	Propia	Casado	Lejos	90700	3	Alta	24	2265
Mayor	Mujer	Propia	Casado	Lejos	91800	0	NA	24	2452
Joven	Mujer	Propia	Soltero	Lejos	27900	0	Media	18	1184
Mayor	Mujer	Propia	Casado	Cerca	70700	0	Alta	24	2150
Adulto	Hombre	Propia	Casado	Cerca	79600	2	NA	6	1575
Adulto	Hombre	Alquilada	Casado	Cerca	96400	1	Alta	24	1822
Adulto	Mujer	Propia	Soltero	Cerca	46600	2	NA	18	1153
Mayor	Hombre	Propia	Casado	Cerca	106600	0	Alta	12	1877
Adulto	Mujer	Alquilada	Casado	Cerca	104900	3	Baja	6	450
Mayor	Hombre	Alquilada	Soltero	Cerca	56300	0	Media	6	873
Joven	Mujer	Alquilada	Soltero	Cerca	14800	1	Baja	6	209
Mayor	Hombre	Propia	Casado	Cerca	58300	0	Media	24	1472
Adulto	Hombre	Propia	Soltero	Lejos	70200	0	Alta	12	1702
Mayor	Hombre	Propia	Casado	Lejos	59700	0	Alta	18	1857
Joven	Hombre	Alquilada	Soltero	Cerca	25800	0	NA	6	451
Joven	Mujer	Alquilada	Soltero	Cerca	12000	0	Baja	24	344
Adulto	Hombre	Alquilada	Soltero	Lejos	51900	0	Alta	18	1492
Adulto	Mujer	Propia	Soltero	Lejos	66800	3	NA	24	2098
Adulto	Hombre	Propia	Casado	Cerca	105300	1	NA	18	3505
Joven	Mujer	Alquilada	Soltero	Lejos	13800	3	Baja	6	127
Joven	Hombre	Alquilada	Soltero	Cerca	14800	3	NA	12	436
Adulto	Mujer	Propia	Casado	Lejos	44200	0	Alta	24	2524
Joven	Hombre	Alquilada	Soltero	Cerca	10400	0	NA	18	189
Adulto	Mujer	Propia	Soltero	Cerca	35200	0	Media	12	607
Joven	Mujer	Alquilada	Soltero	Lejos	16100	0	NA	6	202
Adulto	Hombre	Propia	Casado	Cerca	113000	2	Media	18	1554
Adulto	Hombre	Propia	Casado	Cerca	63300	2	NA	6	633
Joven	Hombre	Alquilada	Soltero	Cerca	19100	0	NA	6	176
Adulto	Mujer	Propia	Casado	Cerca	93400	2	NA	24	3079
Mayor	Mujer	Alquilada	Casado	Lejos	52500	0	Alta	24	2038
Adulto	Mujer	Alquilada	Casado	Lejos	45400	3	Media	24	1203
Joven	Mujer	Propia	Soltero	Lejos	21400	3	NA	6	326
Adulto	Mujer	Propia	Soltero	Cerca	53700	3	Baja	12	235
Joven	Mujer	Propia	Casado	Lejos	68000	0	Alta	24	3688
Joven	Hombre	Alquilada	Soltero	Cerca	17400	0	NA	12	332
Joven	Mujer	Alquilada	Soltero	Cerca	14600	1	Baja	6	143
Mayor	Mujer	Propia	Casado	Lejos	100100	0	Alta	12	3104
Adulto	Hombre	Propia	Casado	Lejos	103700	1	Alta	24	2339
Joven	Mujer	Alquilada	Soltero	Lejos	10800	3	Baja	6	123
Adulto	Mujer	Propia	Casado	Cerca	81700	3	Baja	24	879
Mayor	Mujer	Alquilada	Soltero	Cerca	21400	0	Baja	18	498
Mayor	Mujer	Propia	Casado	Cerca	114800	0	Alta	18	3596
Mayor	Mujer	Propia	Casado	Lejos	67900	0	Alta	24	2925
Adulto	Hombre	Propia	Casado	Cerca	53700	1	NA	12	1081
Joven	Mujer	Alquilada	Soltero	Lejos	11400	3	NA	12	312
Joven	Hombre	Alquilada	Casado	Cerca	34300	3	NA	12	1297
Joven	Mujer	Alquilada	Soltero	Cerca	16400	1	Baja	12	218
Adulto	Mujer	Propia	Casado	Lejos	109800	0	Alta	18	4279
Adulto	Hombre	Propia	Soltero	Cerca	64200	0	Alta	18	1642
Joven	Hombre	Alquilada	Soltero	Cerca	17000	0	NA	18	581
Adulto	Mujer	Alquilada	Soltero	Cerca	41400	3	Baja	6	223
Adulto	Mujer	Propia	Soltero	Cerca	49100	2	Baja	6	474
Mayor	Mujer	Propia	Soltero	Lejos	42600	0	Alta	24	1790
Joven	Mujer	Alquilada	Soltero	Cerca	11900	1	Baja	6	143
Adulto	Hombre	Propia	Casado	Lejos	113600	2	Alta	18	3237
Adulto	Hombre	Propia	Soltero	Cerca	52900	1	NA	24	2316
Joven	Mujer	Alquilada	Soltero	Cerca	14300	1	NA	18	458
Joven	Hombre	Alquilada	Soltero	Cerca	21000	0	Baja	24	646
Adulto	Hombre	Propia	Soltero	Lejos	59600	2	Media	18	1217
Adulto	Mujer	Alquilada	Soltero	Cerca	39700	3	Baja	12	238
Mayor	Hombre	Propia	Casado	Cerca	51200	0	Media	12	1293
Adulto	Mujer	Propia	Casado	Cerca	88200	0	NA	24	2749
Adulto	Hombre	Propia	Casado	Lejos	122100	0	Alta	12	2408
Mayor	Mujer	Alquilada	Casado	Cerca	84800	0	Alta	18	2624
Adulto	Hombre	Propia	Casado	Lejos	140000	0	Alta	12	4894
Mayor	Mujer	Propia	Soltero	Cerca	28500	0	Baja	24	621
Adulto	Hombre	Alquilada	Soltero	Cerca	60300	0	Alta	6	701
Joven	Mujer	Alquilada	Casado	Lejos	51900	0	NA	6	780
Adulto	Hombre	Propia	Soltero	Cerca	60200	0	Media	12	1365
Adulto	Hombre	Propia	Casado	Lejos	81200	0	Alta	12	2693
Mayor	Hombre	Propia	Casado	Cerca	73100	0	Alta	6	1582
Mayor	Hombre	Propia	Soltero	Cerca	45700	0	Media	18	724
Mayor	Mujer	Alquilada	Soltero	Cerca	28900	0	Baja	12	830
Joven	Mujer	Alquilada	Casado	Cerca	60100	0	NA	18	1594
Adulto	Mujer	Propia	Casado	Cerca	84800	1	NA	12	1826
Mayor	Mujer	Propia	Casado	Cerca	35000	0	Media	6	473
Joven	Mujer	Alquilada	Casado	Cerca	61700	0	NA	12	1161
Mayor	Mujer	Alquilada	Casado	Cerca	46900	0	Media	6	703
Adulto	Mujer	Propia	Casado	Cerca	123600	1	NA	12	1892
Joven	Hombre	Alquilada	Casado	Cerca	45800	0	Media	6	489
Adulto	Hombre	Propia	Casado	Lejos	77800	1	Alta	18	1813
Adulto	Mujer	Propia	Soltero	Cerca	48700	1	NA	12	1457
Adulto	Mujer	Alquilada	Soltero	Lejos	39000	3	Baja	6	292
Joven	Mujer	Alquilada	Casado	Cerca	40000	0	NA	6	613
Adulto	Mujer	Alquilada	Casado	Cerca	118300	1	NA	18	2681
Joven	Mujer	Propia	Soltero	Cerca	27100	2	Baja	24	437
Adulto	Mujer	Alquilada	Casado	Cerca	91000	2	Media	6	708
Adulto	Mujer	Propia	Casado	Cerca	35300	0	Media	24	1093
Joven	Mujer	Alquilada	Soltero	Lejos	10200	2	Baja	18	213
Joven	Mujer	Alquilada	Soltero	Cerca	12500	1	Baja	6	202
Mayor	Mujer	Propia	Soltero	Cerca	64600	0	NA	6	1298
Adulto	Hombre	Propia	Casado	Lejos	113800	0	NA	12	3273
Adulto	Hombre	Propia	Casado	Lejos	113400	3	Alta	18	1790
Joven	Mujer	Alquilada	Soltero	Cerca	16900	1	Baja	6	247
Joven	Mujer	Alquilada	Soltero	Cerca	13600	1	Baja	6	183
Adulto	Hombre	Propia	Casado	Lejos	100100	1	Alta	24	3491
Mayor	Mujer	Propia	Casado	Lejos	80000	0	Alta	6	1985
Adulto	Hombre	Propia	Casado	Cerca	83900	0	Alta	24	1721
Adulto	Hombre	Propia	Casado	Cerca	77000	0	Alta	12	2104
Adulto	Mujer	Alquilada	Casado	Cerca	72900	3	Baja	6	252
Joven	Hombre	Alquilada	Casado	Cerca	80700	3	Baja	6	202
Joven	Mujer	Alquilada	Casado	Cerca	40900	1	Media	18	962
Joven	Mujer	Alquilada	Soltero	Cerca	26700	1	NA	12	459
Adulto	Hombre	Propia	Casado	Cerca	54700	0	Media	18	848
Mayor	Mujer	Alquilada	Casado	Cerca	23600	1	Baja	6	161
Adulto	Hombre	Alquilada	Soltero	Lejos	56900	0	Alta	24	1857
Adulto	Hombre	Propia	Soltero	Lejos	68700	1	NA	24	1699
Joven	Mujer	Alquilada	Soltero	Cerca	19300	1	Baja	24	308
Joven	Hombre	Alquilada	Casado	Lejos	20200	1	Baja	24	500
Adulto	Mujer	Alquilada	Casado	Lejos	61500	3	Media	24	1162
Adulto	Mujer	Propia	Casado	Lejos	101700	1	NA	24	2551
Adulto	Mujer	Alquilada	Casado	Lejos	120800	1	Alta	24	5830
Joven	Mujer	Alquilada	Soltero	Lejos	17300	1	Baja	18	381
Joven	Mujer	Alquilada	Casado	Cerca	42300	0	NA	6	856
Adulto	Hombre	Alquilada	Soltero	Cerca	53300	0	Media	18	1720
Adulto	Mujer	Alquilada	Soltero	Cerca	42800	0	Media	12	759
Adulto	Hombre	Propia	Casado	Cerca	98400	0	Alta	18	3305
Adulto	Mujer	Propia	Soltero	Cerca	51200	0	Media	18	1257
Mayor	Hombre	Propia	Soltero	Cerca	62200	0	NA	12	1583
Adulto	Hombre	Propia	Casado	Cerca	109200	3	Baja	24	1102
Joven	Mujer	Alquilada	Soltero	Cerca	11400	2	NA	6	186
Joven	Mujer	Alquilada	Soltero	Cerca	14000	0	Baja	12	229
Mayor	Mujer	Alquilada	Casado	Cerca	97000	0	NA	24	2599
Joven	Mujer	Propia	Soltero	Lejos	29600	3	NA	12	774
Mayor	Hombre	Propia	Casado	Cerca	71200	1	Media	12	638
Mayor	Mujer	Alquilada	Soltero	Lejos	15000	0	Baja	12	378
Adulto	Hombre	Alquilada	Casado	Lejos	64000	1	NA	6	1552
Mayor	Hombre	Propia	Casado	Lejos	33000	0	Media	12	979
Mayor	Mujer	Propia	Casado	Cerca	74400	0	Alta	18	2479
Joven	Hombre	Alquilada	Soltero	Lejos	20300	2	Baja	24	450
Adulto	Hombre	Alquilada	Casado	Cerca	68700	0	Alta	24	2763
Joven	Hombre	Alquilada	Casado	Lejos	53600	3	Media	24	1560
Mayor	Mujer	Propia	Soltero	Cerca	33200	0	Media	24	1037
Joven	Mujer	Propia	Casado	Lejos	70900	0	NA	6	690
Joven	Mujer	Alquilada	Soltero	Cerca	23200	3	NA	24	770
Joven	Hombre	Propia	Soltero	Cerca	41400	0	Media	18	643
Joven	Mujer	Alquilada	Casado	Cerca	63200	0	Alta	24	1512
Mayor	Hombre	Propia	Casado	Cerca	107400	0	Alta	12	1485
Joven	Hombre	Alquilada	Soltero	Lejos	13900	0	NA	24	570
Adulto	Mujer	Alquilada	Casado	Cerca	79900	1	Media	18	1165
Adulto	Hombre	Propia	Casado	Lejos	120000	3	Alta	18	1926
Mayor	Hombre	Alquilada	Casado	Lejos	66300	0	NA	18	2243
Adulto	Mujer	Propia	Soltero	Cerca	54400	3	Baja	18	342
Adulto	Hombre	Propia	Casado	Cerca	84200	0	Alta	24	1654
Joven	Mujer	Alquilada	Casado	Cerca	13800	0	Baja	18	363
Joven	Mujer	Alquilada	Soltero	Lejos	14500	1	Baja	6	222
Joven	Hombre	Alquilada	Soltero	Cerca	21300	0	Baja	24	677
Mayor	Hombre	Alquilada	Soltero	Cerca	29000	0	Baja	6	482
Mayor	Mujer	Alquilada	Soltero	Cerca	14600	1	Baja	24	385
Mayor	Hombre	Propia	Soltero	Cerca	65300	0	Alta	18	1443
Adulto	Mujer	Propia	Casado	Cerca	100800	1	Alta	24	1789
Joven	Mujer	Alquilada	Soltero	Lejos	19800	1	Baja	24	991
Adulto	Hombre	Propia	Soltero	Cerca	56700	2	Baja	18	536
Mayor	Hombre	Alquilada	Casado	Cerca	90200	0	Alta	18	2183
Joven	Hombre	Alquilada	Soltero	Cerca	26100	1	NA	6	494
Joven	Mujer	Alquilada	Soltero	Cerca	15900	0	Baja	18	503
Joven	Mujer	Alquilada	Soltero	Cerca	12700	3	Baja	12	87
Adulto	Hombre	Alquilada	Soltero	Cerca	43200	0	NA	24	917
Adulto	Mujer	Alquilada	Casado	Cerca	114100	1	NA	24	1976
Adulto	Hombre	Propia	Casado	Cerca	96100	3	Baja	12	316
Adulto	Hombre	Propia	Casado	Cerca	97200	0	NA	12	1634
Adulto	Hombre	Propia	Casado	Lejos	82400	2	Alta	24	2035
Mayor	Hombre	Propia	Soltero	Lejos	62000	0	Alta	24	3293
Joven	Mujer	Alquilada	Soltero	Cerca	13400	1	Baja	12	143
Adulto	Hombre	Propia	Casado	Cerca	108200	3	Baja	12	635
Joven	Mujer	Propia	Casado	Cerca	76200	0	Alta	12	979
Adulto	Hombre	Alquilada	Casado	Cerca	81800	1	Alta	18	1838
Joven	Mujer	Alquilada	Soltero	Lejos	12000	0	Baja	6	264
Adulto	Hombre	Propia	Casado	Cerca	76100	0	NA	6	719
Adulto	Hombre	Propia	Casado	Cerca	82100	1	Alta	18	1308
Mayor	Mujer	Propia	Casado	Cerca	103300	0	Alta	24	3378
Joven	Hombre	Alquilada	Soltero	Cerca	14200	1	NA	24	400
Adulto	Mujer	Propia	Soltero	Lejos	47500	0	Alta	6	847
Joven	Mujer	Alquilada	Soltero	Cerca	31300	1	Baja	6	357
Joven	Mujer	Alquilada	Casado	Lejos	32700	1	NA	18	1276
Adulto	Hombre	Propia	Casado	Cerca	72200	0	Alta	24	2492
Adulto	Mujer	Propia	Casado	Cerca	107600	2	Media	12	1512
Adulto	Hombre	Propia	Casado	Cerca	109900	2	Media	12	870
Adulto	Mujer	Propia	Casado	Cerca	65400	2	Media	24	938
Mayor	Mujer	Propia	Soltero	Cerca	43300	0	NA	12	1584
Mayor	Mujer	Propia	Soltero	Cerca	51900	0	Media	12	1148
Adulto	Mujer	Propia	Casado	Lejos	80600	0	Alta	24	2840
Adulto	Mujer	Alquilada	Soltero	Cerca	42700	0	Media	12	827
Joven	Hombre	Alquilada	Soltero	Lejos	19000	0	NA	12	428
Joven	Mujer	Alquilada	Soltero	Cerca	14500	1	Baja	6	183
Adulto	Mujer	Propia	Casado	Cerca	68200	1	NA	6	818
Joven	Hombre	Alquilada	Casado	Cerca	36700	0	Media	12	731
Mayor	Hombre	Propia	Casado	Lejos	54600	0	Alta	24	2163
Adulto	Hombre	Propia	Casado	Cerca	65900	1	Media	12	1081
Joven	Hombre	Propia	Soltero	Lejos	39600	0	NA	12	1085
Joven	Hombre	Alquilada	Casado	Lejos	67300	3	NA	6	1212
Adulto	Hombre	Propia	Soltero	Cerca	59700	1	NA	18	1422
Adulto	Mujer	Propia	Casado	Lejos	102800	2	Alta	18	2238
Adulto	Mujer	Alquilada	Soltero	Cerca	34700	0	NA	18	1615
Adulto	Hombre	Propia	Soltero	Cerca	50600	3	NA	6	713
Adulto	Hombre	Alquilada	Casado	Cerca	106700	2	Media	6	607
Adulto	Hombre	Alquilada	Soltero	Cerca	53900	1	Media	6	735
Joven	Mujer	Alquilada	Casado	Cerca	25500	2	Baja	6	139
Joven	Hombre	Alquilada	Casado	Lejos	46300	1	Media	18	1357
Mayor	Hombre	Propia	Casado	Cerca	55500	0	Media	18	858
Joven	Mujer	Propia	Soltero	Cerca	27800	3	NA	12	408
Adulto	Hombre	Propia	Casado	Cerca	118600	1	NA	12	1553
Adulto	Mujer	Propia	Casado	Cerca	130700	3	NA	6	2070
Mayor	Hombre	Alquilada	Soltero	Cerca	42800	0	Media	12	922
Adulto	Mujer	Propia	Casado	Lejos	118300	1	Alta	12	2502
Joven	Mujer	Alquilada	Soltero	Lejos	25600	2	NA	18	426
Adulto	Hombre	Alquilada	Casado	Cerca	63500	2	NA	24	2321
Mayor	Mujer	Propia	Soltero	Cerca	30900	0	Media	18	862
Adulto	Hombre	Propia	Soltero	Cerca	55900	1	NA	24	2555
Adulto	Hombre	Propia	Soltero	Lejos	53900	0	NA	12	1186
Mayor	Hombre	Propia	Casado	Cerca	84300	0	Alta	24	2842
Mayor	Hombre	Propia	Soltero	Cerca	53400	1	Media	12	886
Adulto	Hombre	Propia	Casado	Cerca	96900	1	Alta	12	1420
Adulto	Hombre	Alquilada	Soltero	Lejos	55800	1	NA	6	821
Joven	Mujer	Alquilada	Casado	Cerca	25900	1	Baja	6	242
Joven	Mujer	Alquilada	Soltero	Cerca	22000	1	Baja	12	472
Adulto	Mujer	Alquilada	Casado	Cerca	96700	2	Media	12	1231
Adulto	Mujer	Alquilada	Soltero	Cerca	40200	1	NA	12	881
Mayor	Hombre	Propia	Casado	Cerca	26800	0	Baja	12	435
Joven	Mujer	Alquilada	Soltero	Cerca	16700	2	Baja	12	108
Joven	Mujer	Alquilada	Casado	Cerca	40900	2	Baja	18	576
Joven	Hombre	Alquilada	Casado	Lejos	41500	3	NA	24	1314
Joven	Hombre	Alquilada	Soltero	Cerca	20900	0	NA	6	296
Joven	Mujer	Alquilada	Casado	Cerca	69700	2	Media	6	584
Adulto	Hombre	Alquilada	Soltero	Cerca	61800	0	Alta	24	1156
Adulto	Hombre	Propia	Casado	Cerca	102500	1	Alta	24	2464
Adulto	Mujer	Propia	Casado	Cerca	48900	3	NA	18	915
Adulto	Hombre	Propia	Soltero	Cerca	60300	0	NA	24	2091
Joven	Hombre	Alquilada	Casado	Lejos	41600	0	Alta	24	1690
Adulto	Hombre	Propia	Soltero	Cerca	73700	1	Media	12	1274
Joven	Mujer	Alquilada	Soltero	Cerca	27000	1	NA	24	1012
Adulto	Mujer	Alquilada	Soltero	Cerca	43700	0	Media	12	950
Joven	Hombre	Alquilada	Soltero	Cerca	10200	2	NA	12	333
Adulto	Mujer	Propia	Casado	Cerca	63300	2	Media	24	679
Joven	Mujer	Propia	Soltero	Lejos	33200	2	Media	12	607
Mayor	Mujer	Propia	Casado	Lejos	78800	0	Alta	18	3398
Adulto	Hombre	Propia	Casado	Cerca	82500	0	Alta	6	859
Adulto	Hombre	Propia	Soltero	Lejos	80800	2	Alta	18	2444
Adulto	Hombre	Propia	Casado	Cerca	88100	2	Media	24	1078
Adulto	Hombre	Alquilada	Casado	Lejos	124800	3	Alta	18	2537
Joven	Hombre	Propia	Soltero	Cerca	31900	0	Media	6	616
Adulto	Mujer	Propia	Soltero	Cerca	53300	3	NA	6	508
Mayor	Hombre	Propia	Casado	Lejos	15400	0	Baja	6	297
Adulto	Hombre	Propia	Casado	Cerca	70200	0	NA	6	1583
Joven	Mujer	Alquilada	Soltero	Cerca	23000	3	Baja	6	79
Adulto	Mujer	Propia	Casado	Cerca	82400	2	Media	18	657
Adulto	Mujer	Propia	Casado	Cerca	97900	0	Alta	24	2149
Mayor	Mujer	Alquilada	Casado	Lejos	88400	0	Alta	18	3632
Adulto	Mujer	Propia	Casado	Cerca	86900	0	Alta	18	2230
Adulto	Mujer	Propia	Soltero	Cerca	45100	1	Media	12	448
Adulto	Hombre	Alquilada	Soltero	Cerca	41800	3	Baja	24	301
Mayor	Hombre	Propia	Casado	Cerca	74800	0	Alta	18	1968
Adulto	Mujer	Alquilada	Casado	Cerca	73000	1	Media	6	490
Adulto	Hombre	Propia	Casado	Cerca	118500	1	Alta	24	3063
Adulto	Hombre	Propia	Soltero	Cerca	65300	3	Baja	6	193
Adulto	Mujer	Alquilada	Casado	Cerca	66300	2	Media	12	544
Adulto	Hombre	Propia	Casado	Lejos	103900	1	Alta	24	2666
Adulto	Mujer	Propia	Casado	Cerca	71900	0	Alta	18	1846
Adulto	Hombre	Propia	Casado	Lejos	86100	1	NA	12	1255
Adulto	Hombre	Propia	Casado	Cerca	96300	1	Alta	12	1081
Joven	Mujer	Alquilada	Soltero	Cerca	10200	3	NA	6	199
Adulto	Hombre	Propia	Casado	Cerca	96300	2	NA	18	3916
Mayor	Mujer	Propia	Soltero	Lejos	24000	1	Baja	6	357
Adulto	Mujer	Alquilada	Casado	Cerca	46700	0	Media	24	983
Adulto	Mujer	Alquilada	Soltero	Cerca	53700	2	NA	12	1194
Adulto	Hombre	Alquilada	Casado	Cerca	108300	2	NA	12	2224
Joven	Mujer	Alquilada	Soltero	Cerca	12100	1	Baja	6	90
Joven	Hombre	Alquilada	Casado	Cerca	36600	0	NA	6	587
Mayor	Hombre	Propia	Casado	Cerca	66300	0	Alta	12	1088
