Valoracion_credito	Edad	Ingresos	Tarjetas_credito	Educacion	Creditos_coche
Malo	24.16	Bajo	5 o más	Bachillerato	2 o más
Malo	35.67	Medio	5 o más	Bachillerato	2 o más
Malo	24.97	Bajo	5 o más	Bachillerato	2 o más
Malo	30.57	Medio	5 o más	Universitario	2 o más
Malo	20.38	Bajo	5 o más	Bachillerato	2 o más
Malo	32.67	Medio	5 o más	Bachillerato	2 o más
Malo	20.57	Bajo	5 o más	Universitario	2 o más
Malo	26.66	Bajo	Menos de 5	Universitario	1 o ninguno
Malo	30.80	Bajo	5 o más	Bachillerato	2 o más
Malo	29.84	Medio	5 o más	Bachillerato	2 o más
Malo	50.83	Bajo	5 o más	Universitario	2 o más
Malo	29.26	Bajo	5 o más	Bachillerato	2 o más
Malo	35.22	Medio	5 o más	Bachillerato	2 o más
Malo	35.82	Bajo	5 o más	Bachillerato	1 o ninguno
Malo	24.44	Medio	5 o más	Universitario	2 o más
Malo	23.40	Medio	5 o más	Universitario	2 o más
Malo	38.68	Medio	5 o más	Universitario	2 o más
Malo	21.86	Medio	5 o más	Bachillerato	2 o más
Malo	24.04	Bajo	5 o más	Universitario	2 o más
Malo	25.72	Medio	5 o más	Bachillerato	2 o más
Malo	26.81	Medio	5 o más	Bachillerato	2 o más
Malo	36.62	Medio	5 o más	Universitario	2 o más
Malo	29.05	Bajo	5 o más	Bachillerato	2 o más
Malo	30.77	Bajo	5 o más	Universitario	2 o más
Malo	22.17	Bajo	5 o más	Universitario	2 o más
Malo	42.93	Bajo	5 o más	Bachillerato	2 o más
Malo	26.79	Medio	Menos de 5	Universitario	1 o ninguno
Malo	24.24	Bajo	5 o más	Bachillerato	2 o más
Malo	25.82	Bajo	5 o más	Bachillerato	2 o más
Malo	20.74	Medio	5 o más	Universitario	2 o más
Malo	40.87	Medio	5 o más	Universitario	2 o más
Malo	52.95	Bajo	5 o más	Bachillerato	2 o más
Malo	25.35	Medio	5 o más	Bachillerato	2 o más
Malo	28.12	Bajo	5 o más	Bachillerato	2 o más
Malo	29.51	Bajo	5 o más	Universitario	2 o más
Malo	35.90	Bajo	5 o más	Bachillerato	2 o más
Malo	20.14	Medio	5 o más	Universitario	2 o más
Malo	23.23	Bajo	5 o más	Bachillerato	2 o más
Malo	44.82	Bajo	5 o más	Universitario	2 o más
Malo	43.57	Medio	5 o más	Bachillerato	2 o más
Malo	20.16	Medio	Menos de 5	Bachillerato	1 o ninguno
Malo	27.44	Bajo	5 o más	Bachillerato	2 o más
Malo	24.03	Bajo	5 o más	Universitario	2 o más
Malo	37.08	Medio	5 o más	Universitario	2 o más
Malo	25.79	Alto	5 o más	Bachillerato	1 o ninguno
Malo	24.80	Bajo	5 o más	Bachillerato	2 o más
Malo	31.75	Bajo	5 o más	Universitario	2 o más
Malo	38.72	Medio	5 o más	Bachillerato	1 o ninguno
Malo	24.12	Medio	5 o más	Bachillerato	2 o más
Malo	31.80	Bajo	5 o más	Universitario	2 o más
Malo	43.03	Bajo	5 o más	Bachillerato	2 o más
Malo	22.10	Medio	5 o más	Bachillerato	2 o más
Malo	26.80	Alto	5 o más	Bachillerato	2 o más
Malo	39.98	Alto	5 o más	Bachillerato	2 o más
Malo	31.48	Medio	Menos de 5	Universitario	1 o ninguno
Malo	23.64	Bajo	5 o más	Universitario	2 o más
Malo	33.18	Bajo	5 o más	Universitario	2 o más
Malo	40.00	Bajo	5 o más	Universitario	2 o más
Malo	23.45	Alto	5 o más	Universitario	2 o más
Malo	29.84	Bajo	Menos de 5	Universitario	1 o ninguno
Malo	29.32	Bajo	Menos de 5	Universitario	1 o ninguno
Malo	22.51	Bajo	5 o más	Universitario	2 o más
Malo	31.43	Bajo	Menos de 5	Universitario	1 o ninguno
Malo	32.96	Bajo	5 o más	Universitario	1 o ninguno
Malo	37.23	Medio	5 o más	Bachillerato	2 o más
Malo	39.49	Bajo	5 o más	Bachillerato	2 o más
Malo	21.99	Bajo	5 o más	Universitario	2 o más
Malo	31.01	Bajo	5 o más	Universitario	2 o más
Malo	40.40	Bajo	5 o más	Universitario	2 o más
Malo	28.53	Bajo	5 o más	Universitario	2 o más
Malo	21.93	Medio	5 o más	Bachillerato	2 o más
Malo	25.52	Bajo	5 o más	Universitario	2 o más
Malo	20.72	Bajo	5 o más	Bachillerato	2 o más
Malo	43.57	Bajo	5 o más	Universitario	1 o ninguno
Malo	33.09	Bajo	5 o más	Universitario	2 o más
Malo	27.85	Medio	5 o más	Universitario	2 o más
Malo	28.74	Bajo	5 o más	Bachillerato	2 o más
Malo	44.61	Bajo	5 o más	Bachillerato	1 o ninguno
Malo	22.32	Alto	5 o más	Bachillerato	2 o más
Malo	32.73	Medio	5 o más	Bachillerato	2 o más
Malo	32.20	Bajo	5 o más	Bachillerato	2 o más
Malo	22.22	Medio	Menos de 5	Bachillerato	1 o ninguno
Malo	30.26	Medio	5 o más	Universitario	2 o más
Malo	54.68	Medio	5 o más	Universitario	2 o más
Malo	29.51	Medio	Menos de 5	Universitario	1 o ninguno
Malo	20.14	Bajo	5 o más	Bachillerato	2 o más
Malo	29.25	Bajo	5 o más	Bachillerato	2 o más
Malo	38.14	Bajo	5 o más	Universitario	2 o más
Malo	28.76	Bajo	5 o más	Bachillerato	2 o más
Malo	36.45	Bajo	5 o más	Universitario	1 o ninguno
Malo	20.64	Medio	5 o más	Universitario	1 o ninguno
Malo	24.54	Medio	5 o más	Universitario	2 o más
Malo	31.39	Bajo	5 o más	Bachillerato	2 o más
Malo	39.80	Bajo	5 o más	Bachillerato	2 o más
Malo	28.56	Medio	5 o más	Bachillerato	2 o más
Malo	22.61	Bajo	5 o más	Bachillerato	2 o más
Malo	33.17	Bajo	5 o más	Bachillerato	2 o más
Malo	43.37	Bajo	5 o más	Bachillerato	1 o ninguno
Malo	34.36	Medio	5 o más	Universitario	1 o ninguno
Malo	40.67	Medio	Menos de 5	Bachillerato	1 o ninguno
Malo	33.74	Alto	5 o más	Universitario	1 o ninguno
Malo	25.23	Medio	5 o más	Universitario	2 o más
Malo	26.09	Bajo	5 o más	Bachillerato	2 o más
Malo	31.63	Bajo	5 o más	Bachillerato	2 o más
Malo	41.67	Medio	5 o más	Bachillerato	2 o más
Malo	23.08	Medio	5 o más	Universitario	1 o ninguno
Malo	24.86	Bajo	5 o más	Bachillerato	2 o más
Malo	23.63	Medio	5 o más	Universitario	2 o más
Malo	25.96	Medio	5 o más	Universitario	2 o más
Malo	44.00	Medio	Menos de 5	Bachillerato	1 o ninguno
Malo	21.96	Bajo	5 o más	Universitario	2 o más
Malo	37.58	Medio	5 o más	Bachillerato	2 o más
Malo	53.86	Bajo	5 o más	Bachillerato	2 o más
Malo	29.80	Medio	5 o más	Universitario	2 o más
Malo	26.72	Medio	5 o más	Bachillerato	2 o más
Malo	24.20	Medio	5 o más	Universitario	2 o más
Malo	34.36	Bajo	Menos de 5	Universitario	1 o ninguno
Malo	24.86	Medio	5 o más	Universitario	2 o más
Malo	33.74	Medio	5 o más	Bachillerato	2 o más
Malo	36.22	Medio	Menos de 5	Universitario	1 o ninguno
Malo	24.22	Bajo	5 o más	Bachillerato	2 o más
Malo	43.81	Bajo	5 o más	Bachillerato	2 o más
Malo	22.58	Alto	5 o más	Bachillerato	2 o más
Malo	47.89	Alto	5 o más	Bachillerato	2 o más
Malo	37.56	Bajo	5 o más	Universitario	1 o ninguno
Malo	24.41	Medio	5 o más	Bachillerato	2 o más
Malo	28.23	Medio	5 o más	Universitario	2 o más
Malo	20.59	Medio	5 o más	Universitario	1 o ninguno
Malo	27.88	Medio	5 o más	Universitario	2 o más
Malo	23.60	Bajo	5 o más	Universitario	2 o más
Malo	20.84	Medio	Menos de 5	Bachillerato	2 o más
Malo	34.51	Bajo	5 o más	Bachillerato	2 o más
Malo	32.75	Bajo	5 o más	Bachillerato	2 o más
Malo	30.15	Bajo	5 o más	Bachillerato	2 o más
Malo	22.43	Medio	5 o más	Universitario	2 o más
Malo	23.45	Bajo	5 o más	Universitario	2 o más
Malo	31.80	Medio	5 o más	Universitario	1 o ninguno
Malo	22.96	Bajo	5 o más	Bachillerato	2 o más
Malo	37.32	Bajo	5 o más	Bachillerato	2 o más
Malo	29.35	Medio	5 o más	Bachillerato	2 o más
Malo	51.91	Medio	5 o más	Universitario	1 o ninguno
Malo	26.82	Medio	5 o más	Bachillerato	2 o más
Malo	40.76	Bajo	5 o más	Bachillerato	2 o más
Malo	40.51	Medio	5 o más	Universitario	2 o más
Malo	25.15	Medio	5 o más	Universitario	2 o más
Malo	30.29	Medio	5 o más	Universitario	2 o más
Malo	20.57	Bajo	5 o más	Bachillerato	2 o más
Malo	29.60	Medio	5 o más	Bachillerato	1 o ninguno
Malo	21.39	Bajo	5 o más	Universitario	2 o más
Malo	26.52	Medio	Menos de 5	Universitario	1 o ninguno
Malo	23.64	Bajo	5 o más	Universitario	2 o más
Malo	24.87	Medio	5 o más	Bachillerato	2 o más
Malo	26.42	Bajo	5 o más	Universitario	2 o más
Malo	31.89	Medio	5 o más	Bachillerato	2 o más
Malo	32.92	Bajo	5 o más	Bachillerato	2 o más
Malo	37.42	Medio	5 o más	Universitario	2 o más
Malo	28.14	Bajo	5 o más	Universitario	2 o más
Malo	24.71	Medio	5 o más	Universitario	2 o más
Malo	35.12	Medio	5 o más	Universitario	2 o más
Malo	32.56	Medio	5 o más	Bachillerato	2 o más
Malo	35.03	Medio	5 o más	Universitario	2 o más
Malo	43.27	Medio	5 o más	Bachillerato	2 o más
Malo	23.53	Bajo	5 o más	Bachillerato	2 o más
Malo	25.01	Medio	5 o más	Universitario	2 o más
Malo	26.61	Bajo	5 o más	Bachillerato	2 o más
Malo	41.41	Medio	5 o más	Universitario	2 o más
Malo	20.35	Bajo	Menos de 5	Bachillerato	1 o ninguno
Malo	35.24	Bajo	5 o más	Universitario	2 o más
Malo	44.30	Bajo	5 o más	Bachillerato	2 o más
Malo	38.61	Medio	5 o más	Universitario	2 o más
Malo	33.53	Medio	5 o más	Universitario	2 o más
Malo	22.53	Medio	5 o más	Universitario	2 o más
Malo	46.51	Bajo	5 o más	Bachillerato	2 o más
Malo	28.05	Alto	5 o más	Bachillerato	2 o más
Malo	40.29	Medio	5 o más	Universitario	2 o más
Malo	20.73	Medio	Menos de 5	Bachillerato	1 o ninguno
Malo	26.53	Bajo	5 o más	Bachillerato	2 o más
Malo	38.76	Medio	Menos de 5	Universitario	1 o ninguno
Malo	35.56	Alto	5 o más	Bachillerato	2 o más
Malo	28.25	Medio	5 o más	Bachillerato	2 o más
Malo	37.12	Medio	Menos de 5	Universitario	1 o ninguno
Malo	22.78	Medio	Menos de 5	Bachillerato	1 o ninguno
Malo	37.07	Medio	Menos de 5	Bachillerato	1 o ninguno
Malo	35.00	Alto	5 o más	Universitario	2 o más
Malo	39.02	Medio	5 o más	Bachillerato	2 o más
Malo	29.21	Medio	5 o más	Bachillerato	2 o más
Malo	21.61	Medio	5 o más	Bachillerato	2 o más
Malo	25.41	Bajo	5 o más	Bachillerato	2 o más
Malo	36.41	Medio	5 o más	Universitario	2 o más
Malo	34.31	Bajo	5 o más	Bachillerato	2 o más
Malo	20.18	Medio	5 o más	Universitario	2 o más
Malo	24.97	Bajo	Menos de 5	Universitario	1 o ninguno
Malo	22.99	Medio	Menos de 5	Universitario	1 o ninguno
Malo	22.93	Bajo	5 o más	Universitario	2 o más
Malo	31.77	Bajo	5 o más	Universitario	2 o más
Malo	40.78	Medio	5 o más	Universitario	2 o más
Malo	25.71	Medio	5 o más	Bachillerato	2 o más
Malo	20.23	Bajo	5 o más	Bachillerato	2 o más
Malo	20.82	Bajo	5 o más	Universitario	2 o más
Malo	22.24	Medio	5 o más	Universitario	2 o más
Malo	23.32	Medio	5 o más	Bachillerato	2 o más
Malo	26.17	Medio	5 o más	Bachillerato	2 o más
Malo	26.22	Medio	Menos de 5	Bachillerato	1 o ninguno
Malo	28.91	Medio	5 o más	Universitario	2 o más
Malo	30.32	Medio	5 o más	Bachillerato	2 o más
Malo	22.08	Medio	5 o más	Universitario	2 o más
Malo	22.07	Medio	5 o más	Bachillerato	2 o más
Malo	26.67	Alto	5 o más	Universitario	2 o más
Malo	28.73	Bajo	5 o más	Universitario	2 o más
Malo	31.09	Alto	5 o más	Bachillerato	2 o más
Malo	23.38	Bajo	5 o más	Bachillerato	1 o ninguno
Malo	25.84	Bajo	5 o más	Bachillerato	1 o ninguno
Malo	29.40	Medio	5 o más	Bachillerato	2 o más
Malo	37.36	Medio	Menos de 5	Universitario	1 o ninguno
Malo	27.57	Medio	5 o más	Universitario	2 o más
Malo	39.15	Bajo	5 o más	Bachillerato	2 o más
Malo	22.79	Alto	5 o más	Universitario	2 o más
Malo	33.41	Bajo	5 o más	Bachillerato	2 o más
Malo	28.03	Bajo	5 o más	Bachillerato	1 o ninguno
Malo	24.97	Medio	5 o más	Universitario	2 o más
Malo	20.04	Medio	5 o más	Universitario	2 o más
Malo	41.32	Bajo	5 o más	Universitario	2 o más
Malo	31.90	Bajo	Menos de 5	Bachillerato	2 o más
Malo	35.85	Medio	5 o más	Universitario	2 o más
Malo	20.61	Medio	5 o más	Universitario	2 o más
Malo	22.49	Bajo	5 o más	Universitario	2 o más
Malo	33.08	Bajo	5 o más	Universitario	2 o más
Malo	33.51	Bajo	5 o más	Universitario	2 o más
Malo	24.56	Medio	5 o más	Universitario	1 o ninguno
Malo	22.38	Medio	5 o más	Bachillerato	2 o más
Malo	27.78	Alto	5 o más	Universitario	2 o más
Malo	26.62	Medio	5 o más	Universitario	2 o más
Malo	28.75	Bajo	5 o más	Bachillerato	1 o ninguno
Malo	20.42	Bajo	Menos de 5	Universitario	1 o ninguno
Malo	22.73	Medio	5 o más	Bachillerato	2 o más
Malo	21.73	Bajo	5 o más	Bachillerato	1 o ninguno
Malo	25.63	Medio	5 o más	Universitario	2 o más
Malo	34.56	Medio	5 o más	Bachillerato	2 o más
Malo	40.94	Medio	5 o más	Universitario	1 o ninguno
Malo	35.10	Bajo	5 o más	Universitario	2 o más
Malo	27.00	Bajo	5 o más	Bachillerato	2 o más
Malo	20.60	Medio	5 o más	Universitario	2 o más
Malo	44.56	Medio	5 o más	Bachillerato	2 o más
Malo	33.81	Bajo	5 o más	Universitario	2 o más
Malo	30.95	Medio	5 o más	Universitario	2 o más
Malo	30.90	Bajo	5 o más	Bachillerato	2 o más
Malo	35.06	Bajo	Menos de 5	Universitario	1 o ninguno
Malo	36.36	Medio	5 o más	Universitario	2 o más
Malo	27.88	Medio	5 o más	Universitario	2 o más
Malo	32.45	Medio	5 o más	Bachillerato	2 o más
Malo	30.57	Bajo	5 o más	Bachillerato	2 o más
Malo	31.64	Medio	5 o más	Universitario	2 o más
Malo	22.50	Bajo	5 o más	Universitario	2 o más
Malo	31.82	Bajo	5 o más	Universitario	2 o más
Malo	33.83	Bajo	5 o más	Bachillerato	1 o ninguno
Malo	22.13	Medio	5 o más	Bachillerato	2 o más
Malo	26.88	Medio	5 o más	Bachillerato	2 o más
Malo	36.35	Bajo	5 o más	Universitario	2 o más
Malo	27.90	Medio	Menos de 5	Universitario	2 o más
Malo	26.69	Medio	5 o más	Bachillerato	2 o más
Malo	34.11	Medio	5 o más	Universitario	2 o más
Malo	29.24	Bajo	5 o más	Bachillerato	2 o más
Malo	33.94	Bajo	5 o más	Bachillerato	2 o más
Malo	31.93	Bajo	5 o más	Bachillerato	2 o más
Malo	25.36	Medio	5 o más	Universitario	2 o más
Malo	29.33	Bajo	5 o más	Universitario	2 o más
Malo	35.54	Medio	Menos de 5	Universitario	2 o más
Malo	27.36	Medio	Menos de 5	Bachillerato	1 o ninguno
Malo	34.43	Bajo	5 o más	Bachillerato	2 o más
Malo	26.51	Medio	5 o más	Bachillerato	2 o más
Malo	26.53	Medio	5 o más	Bachillerato	2 o más
Malo	22.44	Alto	5 o más	Bachillerato	1 o ninguno
Malo	29.61	Medio	Menos de 5	Bachillerato	1 o ninguno
Malo	21.97	Medio	5 o más	Bachillerato	2 o más
Malo	22.84	Medio	5 o más	Universitario	2 o más
Malo	39.01	Medio	5 o más	Bachillerato	2 o más
Malo	31.82	Medio	5 o más	Universitario	2 o más
Malo	30.65	Bajo	5 o más	Universitario	2 o más
Malo	34.38	Medio	5 o más	Bachillerato	2 o más
Malo	29.67	Bajo	5 o más	Universitario	2 o más
Malo	25.66	Medio	5 o más	Universitario	2 o más
Malo	21.38	Bajo	5 o más	Bachillerato	1 o ninguno
Malo	45.74	Bajo	Menos de 5	Bachillerato	1 o ninguno
Malo	37.55	Bajo	5 o más	Universitario	2 o más
Malo	31.05	Bajo	5 o más	Universitario	2 o más
Malo	30.16	Medio	5 o más	Universitario	2 o más
Malo	56.68	Bajo	5 o más	Universitario	2 o más
Malo	40.50	Medio	5 o más	Universitario	2 o más
Malo	51.63	Medio	Menos de 5	Bachillerato	1 o ninguno
Malo	25.44	Bajo	5 o más	Bachillerato	2 o más
Malo	32.93	Bajo	5 o más	Bachillerato	2 o más
Malo	37.31	Alto	5 o más	Bachillerato	2 o más
Malo	24.05	Bajo	5 o más	Universitario	2 o más
Malo	23.63	Medio	5 o más	Universitario	2 o más
Malo	27.18	Medio	5 o más	Universitario	2 o más
Malo	32.04	Alto	Menos de 5	Bachillerato	1 o ninguno
Malo	22.90	Bajo	5 o más	Universitario	2 o más
Malo	25.02	Medio	5 o más	Bachillerato	2 o más
Malo	31.92	Medio	5 o más	Bachillerato	2 o más
Malo	33.07	Medio	5 o más	Bachillerato	2 o más
Malo	33.09	Medio	Menos de 5	Bachillerato	1 o ninguno
Malo	31.35	Bajo	5 o más	Universitario	1 o ninguno
Malo	26.07	Alto	5 o más	Universitario	1 o ninguno
Malo	29.92	Bajo	5 o más	Universitario	2 o más
Malo	30.15	Bajo	5 o más	Bachillerato	2 o más
Malo	40.39	Medio	5 o más	Bachillerato	2 o más
Malo	23.07	Medio	5 o más	Universitario	2 o más
Malo	26.24	Medio	Menos de 5	Bachillerato	1 o ninguno
Malo	34.06	Medio	5 o más	Universitario	2 o más
Malo	28.38	Medio	5 o más	Bachillerato	2 o más
Malo	24.02	Medio	5 o más	Bachillerato	2 o más
Malo	29.87	Medio	Menos de 5	Universitario	1 o ninguno
Malo	37.79	Bajo	5 o más	Bachillerato	2 o más
Malo	44.47	Medio	5 o más	Universitario	2 o más
Malo	25.38	Medio	5 o más	Bachillerato	2 o más
Malo	32.61	Medio	5 o más	Universitario	2 o más
Malo	22.65	Medio	5 o más	Universitario	2 o más
Malo	21.92	Medio	5 o más	Universitario	2 o más
Malo	25.34	Medio	Menos de 5	Universitario	1 o ninguno
Malo	37.68	Medio	5 o más	Bachillerato	2 o más
Malo	27.43	Bajo	5 o más	Universitario	2 o más
Malo	41.71	Bajo	5 o más	Universitario	2 o más
Malo	34.82	Bajo	5 o más	Bachillerato	2 o más
Malo	32.43	Bajo	5 o más	Universitario	2 o más
Malo	33.91	Bajo	5 o más	Universitario	2 o más
Malo	23.24	Bajo	5 o más	Universitario	2 o más
Malo	32.91	Medio	5 o más	Universitario	2 o más
Malo	29.08	Medio	5 o más	Bachillerato	2 o más
Malo	40.21	Medio	5 o más	Universitario	2 o más
Malo	25.32	Bajo	5 o más	Universitario	2 o más
Malo	44.69	Medio	5 o más	Bachillerato	2 o más
Malo	26.30	Bajo	5 o más	Bachillerato	2 o más
Malo	28.44	Bajo	5 o más	Universitario	2 o más
Malo	31.75	Medio	Menos de 5	Bachillerato	1 o ninguno
Malo	36.56	Medio	Menos de 5	Bachillerato	1 o ninguno
Malo	30.09	Bajo	5 o más	Universitario	2 o más
Malo	27.64	Bajo	5 o más	Universitario	2 o más
Malo	23.98	Bajo	5 o más	Universitario	2 o más
Malo	23.41	Bajo	5 o más	Bachillerato	2 o más
Malo	23.79	Bajo	5 o más	Universitario	2 o más
Malo	21.55	Bajo	5 o más	Universitario	2 o más
Malo	35.29	Bajo	Menos de 5	Bachillerato	1 o ninguno
Malo	22.46	Alto	5 o más	Universitario	1 o ninguno
Malo	43.66	Bajo	5 o más	Universitario	2 o más
Malo	20.40	Bajo	Menos de 5	Bachillerato	2 o más
Malo	25.11	Medio	5 o más	Bachillerato	2 o más
Malo	23.03	Bajo	5 o más	Universitario	2 o más
Malo	25.47	Medio	5 o más	Bachillerato	1 o ninguno
Malo	27.10	Medio	5 o más	Universitario	2 o más
Malo	30.32	Bajo	5 o más	Bachillerato	2 o más
Malo	36.66	Medio	5 o más	Bachillerato	2 o más
Malo	36.48	Bajo	5 o más	Bachillerato	2 o más
Malo	31.20	Medio	5 o más	Universitario	2 o más
Malo	31.08	Medio	5 o más	Bachillerato	2 o más
Malo	26.41	Medio	5 o más	Bachillerato	2 o más
Malo	32.00	Bajo	5 o más	Bachillerato	2 o más
Malo	37.45	Medio	5 o más	Universitario	1 o ninguno
Malo	35.83	Bajo	5 o más	Bachillerato	2 o más
Malo	25.03	Medio	Menos de 5	Bachillerato	1 o ninguno
Malo	21.01	Bajo	Menos de 5	Universitario	1 o ninguno
Malo	31.99	Alto	Menos de 5	Universitario	2 o más
Malo	29.62	Bajo	5 o más	Universitario	2 o más
Malo	43.98	Medio	5 o más	Universitario	2 o más
Malo	21.83	Medio	5 o más	Universitario	2 o más
Malo	31.05	Bajo	5 o más	Bachillerato	1 o ninguno
Malo	27.42	Bajo	5 o más	Bachillerato	2 o más
Malo	29.99	Bajo	5 o más	Bachillerato	1 o ninguno
Malo	23.02	Medio	Menos de 5	Bachillerato	1 o ninguno
Malo	25.74	Alto	5 o más	Universitario	1 o ninguno
Malo	28.50	Bajo	5 o más	Bachillerato	2 o más
Malo	20.54	Bajo	5 o más	Bachillerato	2 o más
Malo	30.56	Alto	5 o más	Universitario	2 o más
Malo	38.39	Medio	Menos de 5	Bachillerato	1 o ninguno
Malo	24.16	Bajo	5 o más	Bachillerato	2 o más
Malo	26.95	Bajo	5 o más	Bachillerato	2 o más
Malo	38.89	Bajo	5 o más	Bachillerato	2 o más
Malo	30.96	Medio	5 o más	Universitario	2 o más
Malo	22.01	Medio	Menos de 5	Universitario	1 o ninguno
Malo	35.01	Medio	5 o más	Universitario	2 o más
Malo	39.29	Medio	5 o más	Universitario	2 o más
Malo	28.40	Bajo	5 o más	Universitario	2 o más
Malo	33.29	Medio	5 o más	Universitario	2 o más
Malo	41.31	Medio	5 o más	Universitario	2 o más
Malo	41.31	Medio	5 o más	Universitario	2 o más
Malo	40.86	Bajo	5 o más	Universitario	2 o más
Malo	32.95	Bajo	5 o más	Universitario	2 o más
Malo	34.88	Medio	5 o más	Bachillerato	2 o más
Malo	23.79	Medio	5 o más	Universitario	2 o más
Malo	43.29	Alto	5 o más	Bachillerato	2 o más
Malo	22.47	Bajo	Menos de 5	Universitario	1 o ninguno
Malo	27.46	Medio	5 o más	Universitario	2 o más
Malo	27.77	Bajo	5 o más	Universitario	2 o más
Malo	36.70	Bajo	5 o más	Bachillerato	2 o más
Malo	28.42	Bajo	5 o más	Bachillerato	2 o más
Malo	23.63	Bajo	5 o más	Bachillerato	2 o más
Malo	23.34	Medio	5 o más	Bachillerato	2 o más
Malo	38.07	Bajo	5 o más	Universitario	2 o más
Malo	27.24	Medio	5 o más	Universitario	2 o más
Malo	36.80	Bajo	5 o más	Universitario	2 o más
Malo	28.46	Alto	Menos de 5	Universitario	1 o ninguno
Malo	33.28	Bajo	5 o más	Universitario	2 o más
Malo	25.62	Alto	5 o más	Bachillerato	2 o más
